obscd_wl,korObs_wl,region_wl,lat_wl,lon_wl,rank,stn_id_aws,stn_ko_aws,lat_aws,lon_aws,addr_aws,distance_km,weight_exp,reliability
1001665,평창군(마하교),한강,37.293056,128.544722,2,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,14.64,0.2313,C_보통
1001665,평창군(마하교),한강,37.293056,128.544722,3,217,정선군,37.37732,128.67348,강원특별자치도 정선군 정선읍 애산리,14.74,0.229,C_보통
1001670,영월군(거운교),한강,37.234722,128.512222,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,7.67,0.4644,B_신뢰
1001670,영월군(거운교),한강,37.234722,128.512222,2,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,11.72,0.3097,C_보통
1001670,영월군(거운교),한강,37.234722,128.512222,3,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,17.53,0.1733,D_주의
1001680,영월2,한강,37.216667,128.510833,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,6.15,0.5406,B_신뢰
1001680,영월2,한강,37.216667,128.510833,2,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,11.57,0.3144,C_보통
1001680,영월2,한강,37.216667,128.510833,3,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,15.52,0.2118,D_주의
1001683,영월군(삼옥교),한강,37.207222,128.510278,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,5.5,0.5769,B_신뢰
1001683,영월군(삼옥교),한강,37.207222,128.510278,2,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,11.61,0.3132,C_보통
1001683,영월군(삼옥교),한강,37.207222,128.510278,3,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,14.47,0.2353,C_보통
1001690,영월군(영월대교),한강,37.181944,128.475278,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,1.58,0.8538,A_매우신뢰
1001690,영월군(영월대교),한강,37.181944,128.475278,2,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,11.7,0.3104,C_보통
1001690,영월군(영월대교),한강,37.181944,128.475278,3,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,15.05,0.222,D_주의
1001695,영월군(신촌교),한강,37.182222,128.539444,1,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,7.27,0.4834,B_신뢰
1001695,영월군(신촌교),한강,37.182222,128.539444,2,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,9.57,0.384,B_신뢰
1001695,영월군(신촌교),한강,37.182222,128.539444,3,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,12.3,0.2923,C_보통
1002605,평창군(이목정교),한강,37.621389,128.471944,1,525,봉평,37.61234,128.37725,강원특별자치도 평창군 봉평면 창동리,8.4,0.4317,B_신뢰
1002605,평창군(이목정교),한강,37.621389,128.471944,2,560,진부,37.64794,128.56447,(산지)강원특별자치도 평창군 진부면,8.67,0.4202,B_신뢰
1002605,평창군(이목정교),한강,37.621389,128.471944,3,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,8.87,0.4119,B_신뢰
1002610,평창군(장평교),한강,37.586389,128.412778,1,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,4.12,0.6623,A_매우신뢰
1002610,평창군(장평교),한강,37.586389,128.412778,2,525,봉평,37.61234,128.37725,강원특별자치도 평창군 봉평면 창동리,4.26,0.6531,A_매우신뢰
1002610,평창군(장평교),한강,37.586389,128.412778,3,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,5.19,0.5951,B_신뢰
1002615,평창군(진전교),한강,37.586111,128.391389,1,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,2.95,0.7445,A_매우신뢰
1002615,평창군(진전교),한강,37.586111,128.391389,2,525,봉평,37.61234,128.37725,강원특별자치도 평창군 봉평면 창동리,3.17,0.7283,A_매우신뢰
1002615,평창군(진전교),한강,37.586111,128.391389,3,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,6.29,0.5331,B_신뢰
1002625,평창군(선애교),한강,37.474444,128.41,1,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,8.36,0.4334,B_신뢰
1002625,평창군(선애교),한강,37.474444,128.41,2,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,10.14,0.3628,C_보통
1002625,평창군(선애교),한강,37.474444,128.41,3,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,10.87,0.3372,C_보통
1002626,평창군(바이오교),한강,37.529167,128.451389,1,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,2.03,0.8163,A_매우신뢰
1002626,평창군(바이오교),한강,37.529167,128.451389,2,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,7.46,0.4743,B_신뢰
1002626,평창군(바이오교),한강,37.529167,128.451389,3,525,봉평,37.61234,128.37725,강원특별자치도 평창군 봉평면 창동리,11.32,0.3224,C_보통
1002630,대화,한강,37.450833,128.420833,1,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,8.48,0.4283,B_신뢰
1002630,대화,한강,37.450833,128.420833,2,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,10.67,0.344,C_보통
1002630,대화,한강,37.450833,128.420833,3,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,12.93,0.2744,C_보통
1002635,평창군(사초교),한강,37.455278,128.439722,1,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,9.52,0.386,B_신뢰
1002635,평창군(사초교),한강,37.455278,128.439722,2,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,10.03,0.3668,C_보통
1002635,평창군(사초교),한강,37.455278,128.439722,3,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,13.07,0.2706,C_보통
1002636,평창군(하방림교),한강,37.430833,128.373611,1,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,6.22,0.5369,B_신뢰
1002636,평창군(하방림교),한강,37.430833,128.373611,2,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,14.07,0.2449,C_보통
1002636,평창군(하방림교),한강,37.430833,128.373611,3,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,14.59,0.2325,C_보통
1002640,평창군(상방림교),한강,37.431389,128.417222,1,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,6.32,0.5315,B_신뢰
1002640,평창군(상방림교),한강,37.431389,128.417222,2,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,12.86,0.2764,C_보통
