,지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m),대권역,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
93,양구군(송청제2교),기후에너지환경부,1.41,1.41,-,188.63,한강,운영,T/M,1010633.0,101004,기후에너지환경부
94,양구군(양지교),기후에너지환경부,0.65,0.65,-,230.66,한강,운영,T/M,1010631.0,101004,기후에너지환경부
95,양양군(북평교),기후에너지환경부,2.62,2.62,-,7.36,한강동해,운영,T/M,1301632.0,130106,기후에너지환경부
96,양양군(양양대교),기후에너지환경부,0.55,0.55,6.08,1.05,한강동해,운영,T/M,1301658.0,130107,기후에너지환경부
97,양양군(용천2교),기후에너지환경부,1.8,1.79,-,8.66,한강동해,운영,T/M,1301630.0,130107,기후에너지환경부
98,양주시(마전3교),기후에너지환경부,2.61,2.61,-,47.5,한강,운영,T/M,1018661.0,101808,기후에너지환경부
99,양주시(발운2교),기후에너지환경부,2.27,2.27,-,74.26,한강,운영,T/M,1022660.0,102211,기후에너지환경부
100,양주시(제궁교),기후에너지환경부,2.25,2.25,-,53.68,한강,운영,T/M,1019663.0,101905,기후에너지환경부
101,양평군(다문교),기후에너지환경부,1.14,1.14,-,56.11,한강,운영,T/M,1007695.0,100717,기후에너지환경부
102,양평군(보룡교),기후에너지환경부,1.73,1.73,-,97.9,한강,운영,T/M,1007688.0,100716,기후에너지환경부
103,양평군(봉상교),기후에너지환경부,0.87,0.87,10.36,79.65,한강,운영,T/M,1007690.0,100717,기후에너지환경부
104,양평군(신원리),기후에너지환경부,0.76,0.79,-,25.08,한강,운영,T/M,1007697.0,100719,기후에너지환경부
105,양평군(양평교),기후에너지환경부,5.41,5.45,203.99,25.01,한강,운영,T/M,1007685.0,100718,기후에너지환경부
106,양평군(여물교),기후에너지환경부,2.14,2.14,-,110.25,한강,운영,T/M,1007687.0,100716,기후에너지환경부
107,양평군(흑천교),기후에너지환경부,1.12,1.12,3.55,32.41,한강,운영,T/M,1007680.0,100717,기후에너지환경부
108,여주보(상류),기후에너지환경부,33.18,33.19,-,33.19,한강,운영,T/M,1007639.0,100709,기후에너지환경부
109,여주보(하류),기후에너지환경부,28.53,28.55,148.04,28.55,한강,운영,T/M,1007641.0,100710,기후에너지환경부
110,여주시(강천리),기후에너지환경부,-0.15,-0.13,-,38.27,한강,운영,T/M,1007620.0,100706,기후에너지환경부
111,여주시(남한강교),기후에너지환경부,1.94,1.95,100.73,38.24,한강,운영,T/M,1007625.0,100706,기후에너지환경부
112,여주시(당우교),기후에너지환경부,3.43,3.43,-,43.84,한강,운영,T/M,1007637.0,100707,기후에너지환경부
113,여주시(삼합교),기후에너지환경부,-0.38,-0.39,-,41.69,한강,운영,T/M,1007617.0,100706,기후에너지환경부
114,여주시(양촌교),기후에너지환경부,-0.65,-0.65,0.43,29.49,한강,운영,T/M,1007655.0,100710,기후에너지환경부
115,여주시(여주대교),기후에너지환경부,0.8,0.81,124.95,33.34,한강,운영,T/M,1007635.0,100709,기후에너지환경부
116,여주시(용은교),기후에너지환경부,2.3,2.3,-,41.15,한강,운영,T/M,1007626.0,100710,기후에너지환경부
117,여주시(원부교),기후에너지환경부,0.29,0.3,2.09,51.24,한강,운영,T/M,1007615.0,100706,기후에너지환경부
118,여주시(율극교),기후에너지환경부,0.85,0.85,1.92,32.91,한강,운영,T/M,1007640.0,100711,기후에너지환경부
119,여주시(흥천대교),기후에너지환경부,1.31,1.3,3.34,32.84,한강,운영,T/M,1007650.0,100714,기후에너지환경부
120,연천군(보막교),기후에너지환경부,2.7,2.7,-,76.71,한강,운영,T/M,1022661.0,102214,기후에너지환경부
121,연천군(사랑교),기후에너지환경부,1.68,1.67,18.75,19.98,한강,운영,T/M,1022680.0,102215,기후에너지환경부
122,연천군(사미천교),기후에너지환경부,0.3,0.29,-,6.88,한강,운영,T/M,1023662.0,102302,기후에너지환경부
123,연천군(삼화교),기후에너지환경부,2.59,2.57,-,7.94,한강,운영,T/M,1023640.0,102301,기후에너지환경부
124,연천군(신천교),기후에너지환경부,0.87,0.87,3.24,28.3,한강,운영,T/M,1022670.0,102213,기후에너지환경부
125,연천군(임진교),기후에너지환경부,0.65,0.66,3.75,17.62,한강,운영,T/M,1021680.0,102109,기후에너지환경부
126,연천군(차탄교),기후에너지환경부,0.44,0.43,1.3,48.24,한강,운영,T/M,1022662.0,102214,기후에너지환경부
127,연천군(필승교),기후에너지환경부,0.19,0.18,10.68,31.18,한강,운영,T/M,1021650.0,102108,기후에너지환경부
128,영월군(각동교),기후에너지환경부,2.81,2.8,-,168.14,한강,운영,T/M,1003625.0,100306,기후에너지환경부
129,영월군(거운교),기후에너지환경부,1.65,1.63,49.1,198.57,한강,운영,T/M,1001670.0,100117,기후에너지환경부
130,영월군(내리2교),기후에너지환경부,1.73,1.73,-,256.91,한강,운영,T/M,1003603.0,100304,기후에너지환경부
131,영월군(농공단지교),기후에너지환경부,2.71,2.7,-,202.28,한강,운영,T/M,1002693.0,100212,기후에너지환경부
132,영월군(두학교),기후에너지환경부,0.32,0.31,-,306.57,한강,운영,T/M,1002680.0,100209,기후에너지환경부
