,korObs,korInst,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream_x,1차,2차,3차,4차,5차,6차,7차,8차,dateNotice,aFLAdvisory(m),aFLAdvisory(El.m),aFLAlert(m),aFLAlert(El.m),designFloodLevel(m),designFloodLevel(El.m),designFloodCharge(m3/sec),(El.m),heightEmbarkmentLeft(m),heightEmbarkmentLeft(El.m),heightEmbarkmentRight(m),heightEmbarkmentRight(El.m),widthRiver(m)
40,남양주시(부평교),기후에너지환경부,한강,운영,T/M,1018620.0,101802,퇴계원수위표,480.0,130.0,33.0,8.0,1.0,-,-,-,24.04.23,3,59.29,4,60.29,4.82,61.11,"1,385",56.29,6.29,62.58,6.46,62.75,-
41,남양주시(삼봉리),기후에너지환경부,한강,운영,T/M,1015680.0,101508,북한강,242.0,67.0,13.0,4.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,남양주시(연평대교),기후에너지환경부,한강,운영,T/M,1018623.0,101802,퇴계원수위표,480.0,130.0,33.0,8.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,남양주시(왕숙교),기후에너지환경부,한강,운영,T/M,1018638.0,101803,왕숙천,389.0,110.0,26.0,5.0,2.0,1.0,-,-,24.04.23,6,16.34,8,18.34,9.67,20.01,"2,470",10.34,11.56,21.9,11.56,21.9,-
44,남양주시(진관교),기후에너지환경부,한강,운영,T/M,1018630.0,101803,왕숙천,389.0,110.0,26.0,5.0,2.0,1.0,-,-,07.04.05,3.9,25.25,4.5,25.85,5,26.35,"1,985",21.35,7.08,28.43,6.59,27.94,160
45,남양주시(퇴계원리),기후에너지환경부,한강,운영,T/M,1018635.0,101803,왕숙천,389.0,110.0,26.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,남양주시(팔당대교),기후에너지환경부,한강,운영,T/M,1018610.0,101801,팔당댐,355.0,95.0,27.0,8.0,2.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,남양주시(팔당댐),기후에너지환경부,한강,운영,T/M,1017690.0,101701,팔당댐,96.0,26.0,7.0,1.0,-,-,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,단양군(가대교),기후에너지환경부,한강,운영,T/M,1003636.0,100307,하일천,373.0,84.0,15.0,4.0,1.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,단양군(단양1교),기후에너지환경부,한강,운영,T/M,1003645.0,100309,죽령천,327.0,76.0,13.0,3.0,1.0,-,-,-,24.04.23,4,144.9,5,145.9,5.74,146.64,"1,270",140.9,6.83,147.73,6.43,147.33,-
50,단양군(덕천교),기후에너지환경부,한강,운영,T/M,1003642.0,100310,단양천,171.0,45.0,12.0,2.0,3.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,단양군(들골교),기후에너지환경부,한강,운영,T/M,1003626.0,100308,매포천,227.0,58.0,14.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,단양군(음지교),기후에너지환경부,한강,운영,T/M,1003643.0,100309,죽령천,327.0,76.0,13.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,동두천시(송천교),기후에너지환경부,한강,운영,T/M,1022668.0,102213,신천,225.0,54.0,13.0,5.0,2.0,1.0,-,-,24.04.23,4,61.03,5,62.03,6.46,63.49,"1,600",57.03,6.77,63.8,6.77,63.8,-
54,동해시(북평교),기후에너지환경부,한강동해,운영,T/M,1302668.0,130207,전천,377.0,90.0,26.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,부천시(도두리2교),기후에너지환경부,한강,운영,T/M,1019620.0,101907,굴포천,149.0,45.0,10.0,3.0,1.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,삼척시(남양촌교),기후에너지환경부,한강동해,운영,T/M,1303610.0,130305,가곡천,851.0,175.0,39.0,8.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,삼척시(마차교),기후에너지환경부,한강동해,운영,T/M,1303645.0,130301,삼척오십천,431.0,102.0,26.0,6.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,삼척시(상정교),기후에너지환경부,한강동해,운영,T/M,1303650.0,130302,삼천오십천,684.0,140.0,38.0,9.0,2.0,2.0,-,-,24.04.23,4.1,47.12,5.1,48.12,6.14,49.16,"1,955",43.02,8.29,51.31,8.43,51.45,-
59,삼척시(오십천교),기후에너지환경부,한강동해,운영,T/M,1303680.0,130302,삼천오십천,684.0,140.0,38.0,9.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,삼척시(전두3교),기후에너지환경부,한강동해,운영,T/M,1303640.0,130301,삼척오십천,431.0,102.0,26.0,6.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,서울시(광진교),기후에너지환경부,한강,운영,T/M,1018640.0,101807,중랑천,112.0,32.0,8.0,3.0,1.0,2.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,서울시(너부대교),기후에너지환경부,한강,운영,T/M,1018695.0,101815,안양천,233.0,58.0,10.0,2.0,1.0,-,-,-,24.04.23,3.5,10.37,4.5,11.37,4.9,11.77,210,6.87,5.64,12.51,6.64,13.51,-
63,서울시(대곡교),기후에너지환경부,한강,운영,T/M,1018655.0,101806,탄천,158.0,44.0,11.0,3.0,2.0,1.0,-,-,07.04.05,5.8,15.36,7.1,16.66,8.46,18.02,"1,686",9.56,10.58,20.14,10.54,20.1,176
64,서울시(대치교),기후에너지환경부,한강,운영,T/M,1018658.0,101806,탄천,158.0,44.0,11.0,3.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,서울시(신대방1교),기후에너지환경부,한강,운영,T/M,1018698.0,101816,안양천,65.0,17.0,5.0,1.0,1.0,-,-,-,24.04.23,2.4,14.99,3.2,15.79,4,16.59,360,12.59,4.55,17.14,4.55,17.14,-
66,서울시(신림5교),기후에너지환경부,한강,운영,T/M,1018692.0,101816,안양천,65.0,17.0,5.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,서울시(오금교),기후에너지환경부,한강,운영,T/M,1018697.0,101815,안양천,233.0,58.0,10.0,2.0,1.0,-,-,-,15.05.04,7,10,9,12,11,14,"1,800",3,13.1,16.1,12.9,15.9,270
68,서울시(월계2교),기후에너지환경부,한강,운영,T/M,1018670.0,101810,중랑천,276.0,77.0,19.0,4.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,서울시(잠수교),기후에너지환경부,한강,운영,T/M,1018680.0,101811,한강대교수위표,28.0,5.0,1.0,-,-,-,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
