obscd,gdt
5008695,0.0
5101620,104.26
5101631,0.0
5101650,30.087
5101660,22.71
5101670,14.974
5101675,10.728
5101680,6.59
5101690,0.36
5201640,-3.46
5202670,22.96
5301635,38.745
5301660,7.036
5301690,-1.091
5302620,2.852
5302642,29.42
5302660,3.368
6001650,16.69
6002670,51.85
6003620,5.13
6004670,13.48
