,korObs,korInst,waterElevation,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream,1차,2차,3차,4차,5차,6차,7차,8차
160,음성군(총천교),기후에너지환경부,68.29,한강,운영,T/M,1007610.0,100704,응천,452.0,125,30,7,1,,,
161,의정부시(금신교),기후에너지환경부,36.83,한강,운영,T/M,1018666.0,101808,중랑천상류,825.0,239,56,16,4,2,1,
162,의정부시(신곡교),기후에너지환경부,33.48,한강,운영,T/M,1018665.0,101808,중랑천상류,825.0,239,56,16,4,2,1,
163,이천시(고당교),기후에너지환경부,68.34,한강,운영,T/M,1007608.0,100703,청미천중류,278.0,86,20,4,3,1,,
164,이천시(동산교),기후에너지환경부,60.46,한강,운영,T/M,1007642.0,100712,복하천상류,289.0,85,20,5,1,,,
165,이천시(복하교),기후에너지환경부,46.05,한강,운영,T/M,1007645.0,100713,복하천중류,153.0,52,13,3,2,1,,
166,이천시(장호원교),기후에너지환경부,57.63,한강,운영,T/M,1007605.0,100705,청미수위표,400.0,113,27,6,2,1,,
167,이포보(상류),기후에너지환경부,28.22,한강,운영,T/M,1007662.0,100710,양화천,589.0,165,44,8,2,1,,
168,이포보(하류),기후에너지환경부,25.12,한강,운영,T/M,1007664.0,100715,흑천합류전,427.0,107,21,4,1,1,,1
169,인제군(리빙스턴교),기후에너지환경부,194.52,한강,운영,T/M,1011695.0,101104,인북천하류,97.0,16,2,,2,1,,
170,인제군(반월촌교),기후에너지환경부,,한강,운영,T/M,1011620.0,101102,인북천중류,188.0,41,7,4,1,,,
171,인제군(서호교),기후에너지환경부,285.25,한강,운영,T/M,1012639.0,101203,내린천하류,89.0,18,4,1,,2,,
172,인제군(십이선녀교),기후에너지환경부,305.9,한강,운영,T/M,1011640.0,101103,북천,209.0,42,8,3,1,,,
173,인제군(양지교),기후에너지환경부,341.74,한강,운영,T/M,1012635.0,101202,방내천,134.0,27,7,2,1,,,
174,인제군(왕성동교),기후에너지환경부,374.61,한강,운영,T/M,1012630.0,101201,내린천상류,386.0,90,25,5,2,1,,
175,인제군(진동2교),기후에너지환경부,385.96,한강,운영,T/M,1012638.0,101204,방태천,239.0,56,12,3,1,,,
176,인제군(하죽천교),기후에너지환경부,262.9,한강,운영,T/M,1012645.0,101205,소양강상류,362.0,83,13,3,1,1,,
177,인제군(현리교),기후에너지환경부,286.63,한강,운영,T/M,1012640.0,101204,방태천,239.0,56,12,3,1,,,
178,인천시(굴포1교),기후에너지환경부,5.33,한강,운영,T/M,1019612.0,101903,계양천합류후,368.0,104,29,7,1,,,
179,인천시(상야교),기후에너지환경부,3.12,한강,운영,T/M,1019657.0,101903,계양천합류후,368.0,104,29,7,1,,,
180,인천시(연수교),기후에너지환경부,0.49,한강서해,운영,T/M,1201660.0,120102,공촌천,121.0,36,8,2,,,,
181,정선군(각희교),기후에너지환경부,524.99,한강,운영,T/M,1001641.0,100110,어천상류,568.0,127,35,11,3,1,,
182,정선군(광탄교),기후에너지환경부,298.21,한강,운영,T/M,1001661.0,100114,지장천하류,424.0,106,25,5,1,,,
183,정선군(광하교),기후에너지환경부,274.54,한강,운영,T/M,1001658.0,100112,정선,274.0,62,17,2,2,2,1,
184,정선군(나전교),기후에너지환경부,334.46,한강,운영,T/M,1001630.0,100109,오대천하류,108.0,20,4,,1,1,,
185,정선군(낙동교),기후에너지환경부,325.5,한강,운영,T/M,1001660.0,100114,지장천하류,424.0,106,25,5,1,,,
186,정선군(남평대교),기후에너지환경부,334.03,한강,운영,T/M,1001629.0,100107,골지천하류,152.0,40,6,2,,1,,
187,정선군(삼거리교),기후에너지환경부,479.89,한강,운영,T/M,1001650.0,100113,지장천상류,272.0,65,15,3,1,,,
188,정선군(송계교),기후에너지환경부,490.75,한강,운영,T/M,1001620.0,100103,임계천,525.0,129,29,5,1,1,,
189,정선군(송천교),기후에너지환경부,375.58,한강,운영,T/M,1001625.0,100106,송천,166.0,39,9,2,1,,,
190,정선군(애산교),기후에너지환경부,302.44,한강,운영,T/M,1001649.0,100111,어천하류,712.0,170,37,6,1,1,,
191,정선군(오장2교),기후에너지환경부,445.18,한강,운영,T/M,1001623.0,100106,송천,166.0,39,9,2,1,,,
192,정선군(와평교),기후에너지환경부,315.2,한강,운영,T/M,1001645.0,100111,어천하류,712.0,170,37,6,1,1,,
