watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,mean_cc_peak,mean_dtw_dist,n_events
1007,1007634,강천보(하류),1007687,양평군(여물교),28.0,0.0,4.4607,2.0308,1
1007,1007610,음성군(총천교),1007655,여주시(양촌교),28.4,37.95,4.7838,3.4717,5
1007,1007617,여주시(삼합교),1007625,여주시(남한강교),28.6,43.14,5.5062,3.2107,5
1007,1007617,여주시(삼합교),1007620,여주시(강천리),28.8,42.78,6.0716,3.0771,5
1007,1007615,여주시(원부교),1007625,여주시(남한강교),29.0,40.68,5.2145,3.0087,5
1007,1007615,여주시(원부교),1007634,강천보(하류),29.0,40.19,6.0588,3.2656,5
1007,1007615,여주시(원부교),1007620,여주시(강천리),29.2,40.86,5.7197,2.9072,5
1007,1007610,음성군(총천교),1007664,이포보(하류),30.2,26.61,4.7696,2.1784,5
1007,1007625,여주시(남한강교),1007637,여주시(당우교),31.0,0.0,5.3161,2.0991,1
1007,1007610,음성군(총천교),1007635,여주시(여주대교),31.2,31.81,3.8587,2.9613,5
1007,1007610,음성군(총천교),1007690,양평군(봉상교),31.2,29.95,5.0671,3.8321,5
1007,1007641,여주보(하류),1007697,양평군(신원리),31.2,43.16,4.1126,3.872,5
1007,1007610,음성군(총천교),1007680,양평군(흑천교),31.8,30.5,4.7714,3.8472,5
1007,1007639,여주보(상류),1007687,양평군(여물교),32.0,0.0,4.6022,2.4459,1
1007,1007610,음성군(총천교),1007640,여주시(율극교),32.4,30.67,4.2246,2.9541,5
1007,1007620,여주시(강천리),1007687,양평군(여물교),33.0,0.0,5.0962,2.3727,1
1007,1007605,이천시(장호원교),1007635,여주시(여주대교),33.2,32.64,5.8073,2.7711,5
1007,1007617,여주시(삼합교),1007635,여주시(여주대교),34.0,33.81,6.5069,2.8558,5
1007,1007620,여주시(강천리),1007626,여주시(용은교),34.0,0.0,7.6305,3.3543,1
1007,1007625,여주시(남한강교),1007687,양평군(여물교),34.0,0.0,5.1938,2.633,1
1007,1007615,여주시(원부교),1007635,여주시(여주대교),34.8,32.69,6.0022,2.8554,5
1007,1007625,여주시(남한강교),1007626,여주시(용은교),35.0,0.0,7.4827,3.5846,1
1007,1007605,이천시(장호원교),1007697,양평군(신원리),48.6,30.74,4.7365,4.8836,5
1007,1007617,여주시(삼합교),1007697,양평군(신원리),49.2,31.59,5.2222,5.0105,5
1007,1007615,여주시(원부교),1007697,양평군(신원리),49.6,32.41,4.7658,4.8247,5
1007,1007604,안성시(한평교),1007633,강천보(상류),50.2,45.05,3.2732,2.6326,5
1007,1007604,안성시(한평교),1007697,양평군(신원리),53.4,36.15,3.1043,4.1383,5
1007,1007655,여주시(양촌교),1007662,이포보(상류),57.2,43.67,4.4906,3.8479,5
1007,1007634,강천보(하류),1007639,여주보(상류),58.2,54.51,4.5419,2.643,5
1007,1007635,여주시(여주대교),1007639,여주보(상류),58.4,67.13,4.1917,3.03,5
1007,1007605,이천시(장호원교),1007633,강천보(상류),58.6,61.41,4.0551,3.5116,5
1007,1007615,여주시(원부교),1007633,강천보(상류),60.4,60.97,4.145,3.6447,5
1007,1007634,강천보(하류),1007662,이포보(상류),62.4,42.7,4.1901,3.3899,5
1007,1007635,여주시(여주대교),1007662,이포보(상류),63.0,53.54,4.6335,3.2588,5
1007,1007620,여주시(강천리),1007639,여주보(상류),63.8,59.16,4.038,2.8054,5
1007,1007625,여주시(남한강교),1007639,여주보(상류),64.0,58.89,3.8415,2.6282,5
1007,1007610,음성군(총천교),1007697,양평군(신원리),64.6,22.6,3.3219,3.9251,5
1007,1007640,여주시(율극교),1007662,이포보(상류),66.4,62.44,4.4793,3.4401,5
1007,1007620,여주시(강천리),1007633,강천보(상류),69.8,53.3,4.3147,3.3262,5
1007,1007620,여주시(강천리),1007662,이포보(상류),70.8,50.04,4.0318,3.7513,5
1007,1007641,여주보(하류),1007662,이포보(상류),71.4,50.56,4.2436,3.6454,5
1007,1007608,이천시(고당교),1007685,양평군(양평교),77.0,0.0,2.4021,6.4099,1
1007,1007608,이천시(고당교),1007697,양평군(신원리),77.0,0.0,2.8372,6.6077,1
1007,1007606,안성시(두현교),1007685,양평군(양평교),78.0,0.0,1.6328,6.9172,1
1007,1007626,여주시(용은교),1007685,양평군(양평교),78.0,0.0,5.2147,5.6627,1
1007,1007626,여주시(용은교),1007697,양평군(신원리),78.0,0.0,6.2953,5.9582,1
1007,1007637,여주시(당우교),1007685,양평군(양평교),78.0,0.0,3.0345,6.6487,1
1007,1007687,양평군(여물교),1007697,양평군(신원리),78.0,0.0,4.4024,6.453,1
1007,1007606,안성시(두현교),1007697,양평군(신원리),79.0,0.0,1.8667,7.1095,1
1007,1007637,여주시(당우교),1007697,양평군(신원리),79.0,0.0,3.7435,6.8728,1
1007,1007610,음성군(총천교),1007633,강천보(상류),82.4,83.15,2.5867,3.9283,5
1007,1007617,여주시(삼합교),1007633,강천보(상류),84.6,81.38,4.5235,3.6786,5
1007,1007610,음성군(총천교),1007662,이포보(상류),90.2,84.67,2.8326,3.8988,5
1007,1007610,음성군(총천교),1007639,여주보(상류),91.2,97.35,2.4004,3.8231,5
1007,1007617,여주시(삼합교),1007639,여주보(상류),91.4,99.95,3.7718,3.6587,5
