obscd,korObs,final_cluster,confidence,method
1007633,강천보(상류),4,0.599,C2_sil_weighted
1007634,강천보(하류),4,0.466,C2_sil_weighted
1007635,여주시(여주대교),4,0.347,C2_sil_weighted
1007637,여주시(당우교),5,1.0,C2_sil_weighted
1007639,여주보(상류),4,0.665,C2_sil_weighted
1007640,여주시(율극교),6,0.298,C2_sil_weighted
1007641,여주보(하류),4,0.393,C2_sil_weighted
1007642,이천시(동산교),6,1.0,C2_sil_weighted
1007645,이천시(복하교),6,0.428,C2_sil_weighted
1007650,여주시(흥천대교),6,0.525,C2_sil_weighted
1007655,여주시(양촌교),2,0.496,C2_sil_weighted
1007662,이포보(상류),4,0.455,C2_sil_weighted
1007664,이포보(하류),4,0.309,C2_sil_weighted
1007680,양평군(흑천교),5,0.365,C2_sil_weighted
1007685,양평군(양평교),2,0.482,C2_sil_weighted
1007687,양평군(여물교),7,1.0,C2_sil_weighted
1007690,양평군(봉상교),2,0.373,C2_sil_weighted
1007697,양평군(신원리),2,0.567,C2_sil_weighted
