obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,n_events,method
1002693,영월군(농공단지교),1,1006685,원주시(봉미교),0.6348,1,T1_avg_dist
1002693,영월군(농공단지교),2,1003620,영월군(옥동교),0.7656,1,T1_avg_dist
1002693,영월군(농공단지교),3,1002625,평창군(선애교),0.768,3,T1_avg_dist
1002693,영월군(농공단지교),4,1003660,제천시(팔송교),0.8433,5,T1_avg_dist
1002693,영월군(농공단지교),5,1005695,원주시(법천교),0.9474,3,T1_avg_dist
1002698,영월군(팔괴교),1,1002691,영월군(화병교),0.2323,1,T1_avg_dist
1002698,영월군(팔괴교),2,1002687,영월군(신천교),0.4591,1,T1_avg_dist
1002698,영월군(팔괴교),3,1001690,영월군(영월대교),0.4948,1,T1_avg_dist
1002698,영월군(팔괴교),4,1003625,영월군(각동교),0.5547,1,T1_avg_dist
1002698,영월군(팔괴교),5,1001625,정선군(송천교),0.612,1,T1_avg_dist
1003601,영월군(주채교),1,1004693,괴산군(목도교),2.3497,1,T1_avg_dist
1003601,영월군(주채교),2,1003603,영월군(내리2교),3.2985,1,T1_avg_dist
1003601,영월군(주채교),3,1004631,괴산군(월문교),4.1475,1,T1_avg_dist
1003601,영월군(주채교),4,1004645,괴산군(수전교),4.4272,1,T1_avg_dist
1003601,영월군(주채교),5,1004646,괴산군(비도교),4.6376,1,T1_avg_dist
1003603,영월군(내리2교),1,1003601,영월군(주채교),3.2985,1,T1_avg_dist
1003603,영월군(내리2교),2,1004693,괴산군(목도교),3.6868,1,T1_avg_dist
1003603,영월군(내리2교),3,1005640,충주시(목계교),4.1579,1,T1_avg_dist
1003603,영월군(내리2교),4,1004645,괴산군(수전교),4.93,1,T1_avg_dist
1003603,영월군(내리2교),5,1004646,괴산군(비도교),5.6826,1,T1_avg_dist
1003605,영월군(충혼교),1,1001660,정선군(낙동교),0.4814,1,T1_avg_dist
1003605,영월군(충혼교),2,1005695,원주시(법천교),0.6999,1,T1_avg_dist
1003605,영월군(충혼교),3,1001649,정선군(애산교),0.7515,1,T1_avg_dist
1003605,영월군(충혼교),4,1007617,여주시(삼합교),0.9027,1,T1_avg_dist
1003605,영월군(충혼교),5,1001645,정선군(와평교),0.9247,1,T1_avg_dist
1003620,영월군(옥동교),1,1004695,충주시(국원대교),0.5778,1,T1_avg_dist
1003620,영월군(옥동교),2,1002693,영월군(농공단지교),0.7656,1,T1_avg_dist
1003620,영월군(옥동교),3,1006685,원주시(봉미교),0.888,1,T1_avg_dist
1003620,영월군(옥동교),4,1003660,제천시(팔송교),0.9602,1,T1_avg_dist
1003620,영월군(옥동교),5,1001660,정선군(낙동교),0.9728,1,T1_avg_dist
1003625,영월군(각동교),1,1002691,영월군(화병교),0.4767,1,T1_avg_dist
1003625,영월군(각동교),2,1002698,영월군(팔괴교),0.5547,1,T1_avg_dist
1003625,영월군(각동교),3,1001670,영월군(거운교),0.7606,1,T1_avg_dist
1003625,영월군(각동교),4,1001630,정선군(나전교),0.8518,1,T1_avg_dist
1003625,영월군(각동교),5,1003636,단양군(가대교),0.9307,1,T1_avg_dist
