obscd,korObs,rank,neighbor_obscd,neighbor_korObs,dtw_dist
1005695,원주시(법천교),1,1006665,원주시(원주교),0.6156
1005695,원주시(법천교),2,1002693,영월군(농공단지교),0.9474
1005695,원주시(법천교),3,1002625,평창군(선애교),1.0282
1005695,원주시(법천교),4,1003661,제천시(구곡교),1.1263
1005695,원주시(법천교),5,1002650,평창군(평창교),1.1697
1005697,원주시(남한강대교),1,1001660,정선군(낙동교),1.6221
1005697,원주시(남한강대교),2,1001649,정선군(애산교),1.7482
1005697,원주시(남한강대교),3,1001670,영월군(거운교),1.8842
1005697,원주시(남한강대교),4,1001690,영월군(영월대교),1.9339
1005697,원주시(남한강대교),5,1001645,정선군(와평교),1.9838
1006630,횡성군(오산교),1,1002687,영월군(신천교),1.4503
1006630,횡성군(오산교),2,1007640,여주시(율극교),1.4616
1006630,횡성군(오산교),3,1002685,영월군(주천교),1.5246
1006630,횡성군(오산교),4,1002698,영월군(팔괴교),1.6856
1006630,횡성군(오산교),5,1006680,원주시(지정대교),1.7307
1006650,횡성군(횡성교),1,1001660,정선군(낙동교),2.1908
1006650,횡성군(횡성교),2,1001649,정선군(애산교),2.3265
1006650,횡성군(횡성교),3,1001645,정선군(와평교),2.3487
1006650,횡성군(횡성교),4,1001690,영월군(영월대교),2.5122
1006650,횡성군(횡성교),5,1001655,정선군(정선제1교),2.607
1006660,횡성군(전천교),1,1006680,원주시(지정대교),0.7556
1006660,횡성군(전천교),2,1007620,여주시(강천리),0.9113
1006660,횡성군(전천교),3,1002685,영월군(주천교),0.9248
1006660,횡성군(전천교),4,1007635,여주시(여주대교),0.9638
1006660,횡성군(전천교),5,1007640,여주시(율극교),1.088
1006665,원주시(원주교),1,1005695,원주시(법천교),0.6156
1006665,원주시(원주교),2,1006666,원주시(가현교),0.9853
1006665,원주시(원주교),3,1002625,평창군(선애교),1.2614
1006665,원주시(원주교),4,1002693,영월군(농공단지교),1.2636
1006665,원주시(원주교),5,1006660,횡성군(전천교),1.2995
1006666,원주시(가현교),1,1006665,원주시(원주교),0.9853
