watershed4,obscd_a,korObs_a,obscd_b,korObs_b,mean_lag_h,std_lag_h,n_events
1003,1003603,영월군(내리2교),1003625,영월군(각동교),46.0,0.0,1
1003,1003601,영월군(주채교),1003636,단양군(가대교),51.0,0.0,1
1003,1003603,영월군(내리2교),1003636,단양군(가대교),51.0,0.0,1
1003,1003601,영월군(주채교),1003642,단양군(덕천교),52.0,0.0,1
1003,1003603,영월군(내리2교),1003642,단양군(덕천교),52.0,0.0,1
1003,1003620,영월군(옥동교),1003636,단양군(가대교),60.0,34.49,5
1003,1003605,영월군(충혼교),1003636,단양군(가대교),60.2,34.55,5
1003,1003620,영월군(옥동교),1003642,단양군(덕천교),61.0,34.49,5
1003,1003605,영월군(충혼교),1003642,단양군(덕천교),61.2,34.55,5
1003,1003626,단양군(들골교),1003636,단양군(가대교),65.0,0.0,1
1003,1003626,단양군(들골교),1003642,단양군(덕천교),66.0,0.0,1
1003,1003605,영월군(충혼교),1003625,영월군(각동교),88.0,0.0,1
1003,1003620,영월군(옥동교),1003625,영월군(각동교),88.0,0.0,1
1004,1004694,충주시(주덕교),1005605,충주시(탄금교),-44.0,0.0,1
1004,1004696,충주시(봉계교),1005605,충주시(탄금교),-43.0,0.0,1
1004,1004620,청주시(옥화1교),1004631,괴산군(월문교),-40.0,0.0,1
1004,1004616,청주시(청석굴교),1004631,괴산군(월문교),-38.0,0.0,1
1004,1004640,괴산군(적석교),1004670,괴산군(추산교),-32.0,0.0,1
1004,1004646,괴산군(비도교),1004680,충주시(문강교),-31.0,52.32,5
1004,1004646,괴산군(비도교),1004661,괴산군(제2괴산교),-29.2,48.67,5
1004,1004620,청주시(옥화1교),1004640,괴산군(적석교),-29.0,0.0,1
1004,1004646,괴산군(비도교),1004670,괴산군(추산교),-28.4,50.4,5
1004,1004620,청주시(옥화1교),1004680,충주시(문강교),-27.4,44.19,5
1004,1004616,청주시(청석굴교),1004640,괴산군(적석교),-27.0,0.0,1
1004,1004616,청주시(청석굴교),1004680,충주시(문강교),-26.2,44.05,5
1004,1004620,청주시(옥화1교),1004661,괴산군(제2괴산교),-25.6,32.55,5
1004,1004620,청주시(옥화1교),1004670,괴산군(추산교),-24.8,45.04,5
1004,1004616,청주시(청석굴교),1004661,괴산군(제2괴산교),-24.4,32.72,5
1004,1004645,괴산군(수전교),1004680,충주시(문강교),-24.2,46.31,5
1004,1004616,청주시(청석굴교),1004670,괴산군(추산교),-23.6,44.84,5
1004,1004640,괴산군(적석교),1004680,충주시(문강교),-23.0,0.0,1
1004,1004645,괴산군(수전교),1004661,괴산군(제2괴산교),-22.4,44.97,5
1004,1004645,괴산군(수전교),1004670,괴산군(추산교),-21.6,44.42,5
1004,1004631,괴산군(월문교),1004670,괴산군(추산교),-21.0,0.0,1
1004,1004640,괴산군(적석교),1005605,충주시(탄금교),-19.0,0.0,1
1004,1004646,괴산군(비도교),1004693,괴산군(목도교),-18.2,41.94,5
1004,1004646,괴산군(비도교),1005605,충주시(탄금교),-15.4,46.94,5
1004,1004620,청주시(옥화1교),1004693,괴산군(목도교),-14.6,36.83,5
1004,1004616,청주시(청석굴교),1004693,괴산군(목도교),-13.4,36.76,5
1004,1004631,괴산군(월문교),1004680,충주시(문강교),-12.0,0.0,1
1004,1004620,청주시(옥화1교),1005605,충주시(탄금교),-11.8,46.65,5
1004,1004645,괴산군(수전교),1004693,괴산군(목도교),-11.4,39.39,5
1004,1004646,괴산군(비도교),1004695,충주시(국원대교),-11.0,51.23,5
1004,1004616,청주시(청석굴교),1005605,충주시(탄금교),-10.6,46.46,5
1004,1004645,괴산군(수전교),1005605,충주시(탄금교),-8.6,44.12,5
1004,1004631,괴산군(월문교),1005605,충주시(탄금교),-8.0,0.0,1
1004,1004620,청주시(옥화1교),1004695,충주시(국원대교),-7.4,39.88,5
1004,1004616,청주시(청석굴교),1004695,충주시(국원대교),-6.2,39.92,5
1004,1004620,청주시(옥화1교),1004696,충주시(봉계교),-5.0,0.0,1
1004,1004695,충주시(국원대교),1005605,충주시(탄금교),-4.4,35.57,5
1004,1004645,괴산군(수전교),1004695,충주시(국원대교),-4.2,47.11,5
1004,1004620,청주시(옥화1교),1004694,충주시(주덕교),-4.0,0.0,1
1004,1004620,청주시(옥화1교),1004645,괴산군(수전교),-3.2,16.92,5
1004,1004616,청주시(청석굴교),1004696,충주시(봉계교),-3.0,0.0,1
1004,1004640,괴산군(적석교),1004645,괴산군(수전교),-3.0,0.0,1
1004,1004695,충주시(국원대교),1004696,충주시(봉계교),-3.0,0.0,1
1004,1004670,괴산군(추산교),1004680,충주시(문강교),-2.6,10.16,5
1004,1004616,청주시(청석굴교),1004645,괴산군(수전교),-2.0,16.49,5
1004,1004616,청주시(청석굴교),1004694,충주시(주덕교),-2.0,0.0,1
1004,1004661,괴산군(제2괴산교),1004680,충주시(문강교),-1.8,30.55,5
1004,1004661,괴산군(제2괴산교),1004696,충주시(봉계교),-1.0,0.0,1
1004,1004694,충주시(주덕교),1004696,충주시(봉계교),-1.0,0.0,1
1004,1004661,괴산군(제2괴산교),1004694,충주시(주덕교),0.0,0.0,1
1004,1004661,괴산군(제2괴산교),1004670,괴산군(추산교),0.8,35.84,5
1004,1004616,청주시(청석굴교),1004620,청주시(옥화1교),1.2,0.45,5
1004,1004694,충주시(주덕교),1004695,충주시(국원대교),2.0,0.0,1
1004,1004693,괴산군(목도교),1005605,충주시(탄금교),2.8,15.59,5
1004,1004640,괴산군(적석교),1004693,괴산군(목도교),3.0,0.0,1
1004,1004620,청주시(옥화1교),1004646,괴산군(비도교),3.6,18.05,5
1004,1004616,청주시(청석굴교),1004646,괴산군(비도교),4.8,17.7,5
1004,1004645,괴산군(수전교),1004646,괴산군(비도교),6.8,6.42,5
1004,1004640,괴산군(적석교),1004646,괴산군(비도교),7.0,0.0,1
1004,1004693,괴산군(목도교),1004695,충주시(국원대교),7.2,24.24,5
1004,1004631,괴산군(월문교),1004645,괴산군(수전교),8.0,0.0,1
1004,1004670,괴산군(추산교),1004693,괴산군(목도교),10.2,35.07,5
1004,1004631,괴산군(월문교),1004640,괴산군(적석교),11.0,0.0,1
1004,1004661,괴산군(제2괴산교),1004693,괴산군(목도교),11.0,36.12,5
1004,1004680,충주시(문강교),1004693,괴산군(목도교),12.8,40.03,5
1004,1004670,괴산군(추산교),1005605,충주시(탄금교),13.0,36.89,5
1004,1004661,괴산군(제2괴산교),1005605,충주시(탄금교),13.8,48.07,5
1004,1004631,괴산군(월문교),1004693,괴산군(목도교),14.0,0.0,1
1004,1004680,충주시(문강교),1005605,충주시(탄금교),15.6,44.55,5
1004,1004646,괴산군(비도교),1004696,충주시(봉계교),17.0,0.0,1
1004,1004670,괴산군(추산교),1004695,충주시(국원대교),17.4,25.97,5
1004,1004631,괴산군(월문교),1004646,괴산군(비도교),18.0,0.0,1
1004,1004646,괴산군(비도교),1004694,충주시(주덕교),18.0,0.0,1
1004,1004661,괴산군(제2괴산교),1004695,충주시(국원대교),18.2,22.37,5
1004,1004680,충주시(문강교),1004695,충주시(국원대교),20.0,25.62,5
1004,1004693,괴산군(목도교),1004696,충주시(봉계교),21.0,0.0,1
1004,1004693,괴산군(목도교),1004694,충주시(주덕교),22.0,0.0,1
1004,1004640,괴산군(적석교),1004696,충주시(봉계교),24.0,0.0,1
1004,1004640,괴산군(적석교),1004661,괴산군(제2괴산교),25.0,0.0,1
1004,1004640,괴산군(적석교),1004694,충주시(주덕교),25.0,0.0,1
1004,1004640,괴산군(적석교),1004695,충주시(국원대교),27.0,0.0,1
1004,1004645,괴산군(수전교),1004696,충주시(봉계교),27.0,0.0,1
1004,1004645,괴산군(수전교),1004694,충주시(주덕교),28.0,0.0,1
1004,1004631,괴산군(월문교),1004696,충주시(봉계교),35.0,0.0,1
1004,1004631,괴산군(월문교),1004661,괴산군(제2괴산교),36.0,0.0,1
1004,1004631,괴산군(월문교),1004694,충주시(주덕교),36.0,0.0,1
1004,1004631,괴산군(월문교),1004695,충주시(국원대교),38.0,0.0,1
1004,1004680,충주시(문강교),1004696,충주시(봉계교),47.0,0.0,1
1004,1004680,충주시(문강교),1004694,충주시(주덕교),48.0,0.0,1
1004,1004670,괴산군(추산교),1004696,충주시(봉계교),56.0,0.0,1
1004,1004670,괴산군(추산교),1004694,충주시(주덕교),57.0,0.0,1
1005,1005660,충주시(세포교),1005695,원주시(법천교),0.0,0.0,1
