수계,홍수,특보,특보,홍수,,,,계획홍수위,,계획,수위표,제방고,,,,하폭
,특보,지점,지점,특보 수위,,,,,,홍수량,영점,,,,,(m)
,지점명,위치,및,,,,,,,(㎥/sec),표고,,,,,
,(하천명),,기준,,,,,,,,(El.m),,,,,
,,,수위,주의보,,경 보,,,,,,좌안,,우안,,
,,,고시일,수위표,해발,수위표,해발,수위표,해발,,,수위표,해발,수위표,해발,
,,,,기준,기준,기준,기준,기준,기준,,,기준,기준,기준,기준,
,,,,(m),(El.m),(m),(El.m),(m),(El.m),,,(m),(El.m),(m),(El.m),
요도천,충주시,충주시,24.04.23,5,68.82,6,69.82,8.23,72.05,990,63.82,8.41,72.23,8.43,72.25,-
,(국원대교),국원대교,,,,,,,,,,,,,,
,(요도천),,,,,,,,,,,,,,,
응천,음성군,음성군,24.04.23,3.2,70.33,3.9,71.03,4.1,71.23,699,67.13,5.91,73.04,5.63,72.76,-
,(총천교),총천교,,,,,,,,,,,,,,
,(응천),,,,,,,,,,,,,,,
양화천,여주시,여주시,24.04.23,4.5,36.56,5.5,37.56,6.71,38.77,"1,395",32.06,9.58,41.64,9.58,41.64,-
,(율극교),율극교,,,,,,,,,,,,,,
,(양화천),,,,,,,,,,,,,,,
흑천,양평군,양평군,24.04.23,3.5,34.79,4,35.29,6.5,37.79,"2,475",31.29,6.89,38.18,6.89,38.18,-
,(흑천교),흑천교,,,,,,,,,,,,,,
,(흑천),,,,,,,,,,,,,,,
내린천,인제군,인제군,24.04.23,5.5,379.31,6.5,380.31,7.54,381.35,"2,330",373.81,15.81,389.62,12.41,386.22,-
,(왕성동교),왕성동교,,,,,,,,,,,,,,
,(내린천),,,,,,,,,,,,,,,
인북천,인제군,인제군,24.04.23,6.5,199.44,7.5,200.44,8.18,201.12,"4,320",192.94,10.61,203.55,10.65,203.59,-
,(리빙스턴교),리빙스턴교,,,,,,,,,,,,,,
,(인북천),,,,,,,,,,,,,,,
가평천,가평군,가평군,21.12.28,4,54.86,5,55.86,6.2,57.06,"2,444",50.86,8.7,59.56,8.91,59.77,140
,(가평교),가평교,,,,,,,,,,,,,,
,(가평천),,,,,,,,,,,,,,,
내촌천,홍천군,홍천군,24.04.23,3.5,188.24,4.6,189.34,5.5,190.24,"1,935",184.74,7.14,191.88,7.15,191.89,-
,(용선교),용선교,,,,,,,,,,,,,,
,(내촌천),,,,,,,,,,,,,,,
조종천,가평군,가평군,24.04.23,4.8,104.33,5.6,105.13,6.42,105.95,"1,464",99.53,8.71,108.24,9.4,108.93,-
,(대보교),대보교,,,,,,,,,,,,,,
,(조종천),,,,,,,,,,,,,,,
곤지암천,광주시,광주시,24.04.23,4.4,40.52,5.2,41.32,6.21,42.33,"1,170",36.12,9.44,45.56,9.31,45.43,-
,(섬뜰교),섬뜰교,,,,,,,,,,,,,,
,(곤지암천),,,,,,,,,,,,,,,
왕숙천,남양주시,남양주시,24.04.23,3,59.29,4,60.29,4.82,61.11,"1,385",56.29,6.29,62.58,6.46,62.75,-
,(부평교),부평교,,,,,,,,,,,,,,
,(왕숙천),,,,,,,,,,,,,,,
,남양주시,남양주시,07.04.05,3.9,25.25,4.5,25.85,5,26.35,"1,985",21.35,7.08,28.43,6.59,27.94,160
,(진관교),진관교,,,,,,,,,,,,,,
,(왕숙천),,,,,,,,,,,,,,,
,남양주시,남양주시,24.04.23,6,16.34,8,18.34,9.67,20.01,"2,470",10.34,11.56,21.9,11.56,21.9,-
,(왕숙교),왕숙교,,,,,,,,,,,,,,
,(왕숙천),,,,,,,,,,,,,,,
탄천,서울시,서울시,07.04.05,5.8,15.36,7.1,16.66,8.46,18.02,"1,686",9.56,10.58,20.14,10.54,20.1,176
,(대곡교),대곡교,,,,,,,,,,,,,,
,(탄천),,,,,,,,,,,,,,,
중랑천,의정부시,의정부시,24.04.23,5.1,38.16,6,39.06,6.52,39.58,"1,150",33.06,7.74,40.8,7.82,40.88,-
,(신곡교),신곡교,,,,,,,,,,,,,,
,(중랑천),,,,,,,,,,,,,,,
도림천,서울시,서울시,24.04.23,2.4,14.99,3.2,15.79,4,16.59,360,12.59,4.55,17.14,4.55,17.14,-
,(신대방1교),신대방1교,,,,,,,,,,,,,,
,(도림천),,,,,,,,,,,,,,,
공릉천,고양시,고양시,24.04.23,2.5,23.3,3,23.8,3.68,24.48,985,20.8,5.48,26.28,5.38,26.18,-
,(원당교),원당교,,,,,,,,,,,,,,
,(공릉천),,,,,,,,,,,,,,,
포천천,포천시,포천시,24.04.23,6.1,93.17,7.4,94.47,8.69,95.76,"1,250",87.07,9.74,96.81,9.67,96.74,-
,(포천대교),포천대교,,,,,,,,,,,,,,
,(포천천),,,,,,,,,,,,,,,
,포천시,포천시,24.04.23,4.5,65.82,5.5,66.82,6.36,67.68,"2,030",61.32,9.13,70.45,9.13,70.45,-
,(은현교),은현교,,,,,,,,,,,,,,
,(포천천),,,,,,,,,,,,,,,
차탄천,연천군,연천군,24.04.23,4.5,52.32,6.5,54.32,7.82,55.64,"2,015",47.82,9.47,57.29,9.47,57.29,-
,(차탄교),차탄교,,,,,,,,,,,,,,
,(차탄천),,,,,,,,,,,,,,,
문산천,파주시,파주시,24.04.23,4.9,25.32,5.4,25.82,6.25,26.67,"1,010",20.42,8.25,28.67,8.2,28.62,-
,(만장교),만장교,,,,,,,,,,,,,,
,(문산천),,,,,,,,,,,,,,,
안성천,평택시,평택시,03.06.07,6,6.13,7,7.13,7.85,7.98,"2,800",0.13,11.84,11.97,11.1,11.23,360
,(군문교),군문교,,,,,,,,,,,,,,
,(안성천),,,,,,,,,,,,,,,
진위천,평택시,평택시,00.04.15,7.5,7.22,8.5,8.22,10.09,9.81,"4,340",-0.28,13.32,13.04,13.32,13.04,320
,(동연교),동연교,,,,,,,,,,,,,,
,(진위천),,,,,,,,,,,,,,,
오산천,오산시,오산시,24.04.23,4.5,15.24,5.2,15.94,4.2,14.94,"1,180",10.74,9.53,20.27,9.53,20.27,-
,(탑동대교),탑동대교,,,,,,,,,,,,,,
,(오산천),,,,,,,,,,,,,,,
진위천,평택시,평택시,24.04.23,4.6,9.93,5.8,11.13,7.04,12.37,"1,205",5.33,10.48,15.81,10.48,15.81,-
,(진위1교),진위1교,,,,,,,,,,,,,,
,(진위천),,,,,,,,,,,,,,,
양양남대천,양양군,양양군,24.04.23,3.9,4.4,4.5,5,5.41,5.91,"3,985",0.5,10.41,10.91,10.45,10.95,-
,(양양대교),양양대교,,,,,,,,,,,,,,
,(양양남대천),,,,,,,,,,,,,,,
삼척오십천,삼척시,삼척시,24.04.23,4.1,47.12,5.1,48.12,6.14,49.16,"1,955",43.02,8.29,51.31,8.43,51.45,-
,(상정교),상정교,,,,,,,,,,,,,,
,(삼척오십천),,,,,,,,,,,,,,,
강릉남대천,강릉시,강릉시,24.04.23,3.8,18.43,4.8,19.43,5.8,20.43,"1,325",14.63,7.74,22.37,8.57,23.2,197
,(회산교),회산교,,,,,,,,,,,,,,
,(강릉남대천),,,,,,,,,,,,,,,
연곡천,강릉시,강릉시,24.04.23,3.5,6.52,4.5,7.52,5.19,8.21,"1,170",3.02,9.08,12.1,8.88,11.9,-
,(송림교),송림교,,,,,,,,,,,,,,
,(연곡천),,,,,,,,,,,,,,,
잠수교,,"잠수교 잠수수위: 6.5m, 차량통제: 6.2m, 보행자통제: 5.5m",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
