유역코드,유역명,1차,2차,3차,4차,5차,6차,7차,8차
102106,봉래호,63,17,4,1,-,-,-,-
102107,역곡천,403,91,24,4,1,-,-,-
102108,군남홍수조절지,129,30,5,1,1,1,-,-
102109,한탄강합류후,29,11,3,-,-,1,-,-
102201,한탄강상류,221,60,15,3,2,1,-,-
102202,화강,423,106,26,5,1,-,-,-
102203,대교천합류후,146,33,9,1,-,1,-,-
102204,부소천합류후,212,52,15,4,1,1,-,-
102205,한탄강댐,94,23,6,2,-,1,-,-
102206,영평천상류,327,81,20,4,1,-,-,-
102207,수입천,42,12,3,1,-,-,-,-
102208,포천천상류,310,80,21,3,1,-,-,-
102209,포천천하류,212,55,11,1,1,-,-,-
102210,영평천하류,304,77,16,5,3,1,-,-
102211,신천상류,55,14,3,1,-,-,-,-
102212,청담천,49,13,3,1,-,-,-,-
102213,신천하류,225,54,13,5,2,1,-,-
102214,차탄천,107,21,4,1,-,-,-,-
102215,한탄강하류,50,12,2,1,-,3,1,-
102301,적성수위표,69,17,3,1,-,1,1,-
102302,사미천,235,60,17,4,1,-,-,-
102303,눌노천합류후,102,23,5,1,1,-,1,-
102304,문산천합류후,80,16,3,1,-,-,1,-
102305,문산천상류,50,13,4,1,-,-,-,-
102306,문산천하류,47,13,2,1,-,-,-,-
102307,백전리하천,69,14,4,2,1,-,-,-
102308,사천,88,22,4,1,1,-,-,-
102309,임진강하류,29,6,1,1,1,-,1,-
102401,한강하류,68,15,5,1,-,-,1,1
110101,안성천상류,399,112,27,6,6,3,-,-
110102,고삼댐,190,48,10,1,-,-,-,-
110103,한천,179,52,13,3,1,-,-,-
110104,청룡천,118,33,15,2,1,1,-,-
110105,입장천,155,43,11,4,2,1,-,-
110106,성환천,137,40,10,2,2,-,-,-
110107,평택수위표,54,17,5,1,3,3,1,-
110108,진위천합류전,109,30,6,2,-,-,1,-
110109,이동댐,270,70,15,5,1,-,-,-
110110,기흥댐,147,39,7,1,-,-,-,-
110111,오산천,273,78,19,5,1,-,-,-
110112,황구지천상류,292,82,20,5,2,1,-,-
110113,황구지천하류,341,93,27,7,1,1,-,-
110114,동연교수위표,363,102,31,7,2,2,1,-
110115,진위천,144,38,6,1,-,-,1,-
110116,아산방조제상류,119,37,8,2,-,-,2,1
110117,둔포천,175,47,14,4,1,-,-,-
110118,아산방조제,205,56,12,3,2,-,-,1
120101,포내천,102,40,5,1,-,-,-,-
120102,공촌천,121,36,8,2,-,-,-,-
120103,장수천,292,106,27,9,9,-,-,-
120104,삼동암천,97,37,9,2,-,-,-,-
120105,삼흥천,122,50,13,3,-,-,-,-
120106,강화도,52,18,3,-,-,-,-,-
120107,영종도,91,28,3,-,-,-,-,-
120108,웅진군,19,3,-,-,-,-,-,-
120201,화정천,86,38,11,6,-,-,-,-
120202,반월천,241,82,41,22,1,-,-,-
120203,송산면,166,67,18,3,-,-,-,-
120204,시화방조제,65,25,6,-,-,-,-,-
120205,자안천,897,345,112,33,6,1,-,-
120206,남양방조제,781,308,89,34,10,1,-,-
130101,현내면,47,13,2,1,-,-,-,-
130102,자산천,51,14,4,1,-,-,-,-
130103,북천,94,25,5,1,-,-,-,-
130104,남천,137,36,8,3,-,-,-,-
130105,청초천,141,36,9,3,-,-,-,-
130106,후천,363,89,17,3,2,-,-,-
130107,양양남대천,410,92,23,5,3,1,-,-
130108,상운천,150,36,9,2,-,1,-,-
130109,남강,176,35,6,1,-,-,-,-
130201,연곡천,296,86,15,4,1,-,-,-
130202,사천천,84,22,4,1,-,1,-,-
130203,오봉댐,420,117,19,5,2,1,-,-
130204,강릉남대천,174,53,14,4,2,1,-,-
130205,군선천,231,58,12,4,1,-,-,-
130206,주수천,386,105,24,5,2,1,-,-
130207,전천,377,90,26,5,2,1,-,-
130301,삼척오십천상류,431,102,26,6,1,-,-,-
130302,삼천오십천하류,684,140,38,9,2,2,-,-
130303,마읍천,891,203,47,7,2,1,-,-
130304,호산천,495,110,22,5,2,-,-,-
130305,가곡천,851,175,39,8,2,1,-,-
