대권역,관측소 명,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
한강,광주시(부항교),운영,T/M,1016657,101604,기후에너지환경부
한강,광주시(섬뜰교),운영,T/M,1016660,101604,기후에너지환경부
한강,광주시(서하교),운영,T/M,1016670,101605,기후에너지환경부
한강,광주시(광동교),운영,T/M,1016695,101605,기후에너지환경부
한강,남양주시(팔당댐),운영,T/M,1017690,101701,기후에너지환경부
한강,남양주시(팔당대교),운영,T/M,1018610,101801,기후에너지환경부
한강,포천시(마명1교),운영,T/M,1018619,101802,기후에너지환경부
한강,남양주시(부평교),운영,T/M,1018620,101802,기후에너지환경부
한강,남양주시(연평대교),운영,T/M,1018623,101802,기후에너지환경부
한강,남양주시(내곡교),운영,T/M,1018625,101802,기후에너지환경부
한강,남양주시(진관교),운영,T/M,1018630,101803,기후에너지환경부
한강,남양주시(퇴계원리),운영,T/M,1018635,101803,기후에너지환경부
한강,남양주시(왕숙교),운영,T/M,1018638,101803,기후에너지환경부
한강,서울시(광진교),운영,T/M,1018640,101807,기후에너지환경부
한강,성남시(궁내교),운영,T/M,1018650,101804,기후에너지환경부
한강,성남시(둔전교),운영,T/M,1018653,101805,기후에너지환경부
한강,서울시(대곡교),운영,T/M,1018655,101806,기후에너지환경부
한강,서울시(대치교),운영,T/M,1018658,101806,기후에너지환경부
한강,양주시(마전3교),운영,T/M,1018661,101808,기후에너지환경부
한강,서울시(청담대교),운영,T/M,1018662,101807,기후에너지환경부
한강,의정부시(신곡교),운영,T/M,1018665,101808,기후에너지환경부
한강,의정부시(금신교),운영,T/M,1018666,101808,기후에너지환경부
한강,서울시(창동교),운영,T/M,1018669,101810,기후에너지환경부
한강,서울시(월계2교),운영,T/M,1018670,101810,기후에너지환경부
한강,서울시(중랑교),운영,T/M,1018675,101810,기후에너지환경부
한강,서울시(잠수교),운영,T/M,1018680,101811,기후에너지환경부
한강,서울시(한강대교),운영,T/M,1018683,101812,기후에너지환경부
한강,구용산,운영,보통,1018685,101711,기후에너지환경부
한강,서울시(홍남교),운영,T/M,1018686,101813,기후에너지환경부
한강,안양시(충훈1교),운영,T/M,1018690,101815,기후에너지환경부
한강,서울시(신림5교),운영,T/M,1018692,101816,기후에너지환경부
한강,광명시(시흥대교),운영,T/M,1018693,101815,기후에너지환경부
한강,서울시(너부대교),운영,T/M,1018695,101815,기후에너지환경부
한강,서울시(오금교),운영,T/M,1018697,101815,기후에너지환경부
한강,서울시(신대방1교),운영,T/M,1018698,101816,기후에너지환경부
한강,고양시(은덕교),운영,T/M,1019606,101901,기후에너지환경부
한강,인천시(굴포1교),운영,T/M,1019612,101903,기후에너지환경부
한강,부천시(도두리2교),운영,T/M,1019620,101907,기후에너지환경부
한강,서울시(행주대교),운영,T/M,1019630,101903,기후에너지환경부
한강,아라한강갑문(내),운영,T/M,1019635,101903,한국수자원공사
한강,아라한강갑실,운영,T/M,1019636,101903,한국수자원공사
