수계,하천명 ,본류,하천코드,하천등급,시도기점,시군구기점,읍면동기점,경계기점,시도종점,시군구종점,읍면동종점,경계종점
한강,눌노천,한강,1026720,지방,경기,파주,법원,직천리,경기,파주,파평,임진강(국가) 합류점
한강,답곡천,한강,1026730,지방,경기,파주,적성,자장리402-4번지 (자장4새마을교),경기,파주,파평,눌노리530번지 (눌노천합류점)
한강,두포천,한강,1026740,지방,경기,파주,법원,금곡리,경기,파주,파평,임진강(국가) 합류점
한강,운천천,한강,1026750,지방,경기,파주,문산,당동리,경기,파주,문산,임진강(국가) 합류점
한강,문산천,한강,1026760,지방,경기,양주,백석,기산리,경기,파주,광탄,창만리 문산천 (국가) 기점
한강,보광천,한강,1026770,지방,경기,파주,광탄,영장리,경기,파주,광탄,영장리 문산천 (지방) 합류점
한강,비암천,한강,1026780,지방,경기,양주,광적,우고리,경기,파주,광탄,방축리 문산천 (지방) 합류점
한강,분수천,한강,1026790,지방,경기,파주,광적,분수리,경기,파주,월롱,도내리 문산천 (국가) 합류점
한강,갈곡천,한강,1026800,지방,경기,파주,법원,갈곡리,경기,파주,파주,봉암리 문산천 (국가) 합류점
한강,삼방천,한강,1026810,지방,경기,파주,법원,삼방리,경기,파주,파주,연풍리 갈곡천 (지방) 합류점
한강,동문천,한강,1026820,지방,경기,파주,법원,동문리,경기,파주,문산,문산리 문산천 (국가) 합류점
한강,향양천,한강,1026830,지방,경기,파주,파주,향양리,경기,파주,파주,동문천(지방) 합류점
한강,만우천,한강,1026850,지방,경기,파주,월롱,덕은리,경기,파주,탄현,임진강(국가) 합류점
한강,양택천,한강,1026870,지방,경기,김포,하성,양택리,경기,김포,하성,한강(국가) 합류점
한강,개화천,한강,1026880,지방,경기,김포,월곶,개곡리,경기,김포,월곶,한강(국가) 합류점
