지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m)
홍천군(모곡교),기후에너지환경부,2.67,2.66,1.17,58.94
홍천군(반곡교),기후에너지환경부,1.44,1.43,13.53,69.72
홍천군(용선교),기후에너지환경부,1.22,1.22,7.7,185.96
홍천군(용수교),기후에너지환경부,2.89,2.88,-,100.59
홍천군(용호대교),기후에너지환경부,3.65,3.65,-,243.73
홍천군(주음치교),기후에너지환경부,0.68,0.67,8.07,152.82
홍천군(지다치교),기후에너지환경부,3.42,3.41,-,169.26
홍천군(홍천교),기후에너지환경부,1.16,1.16,129.58,120.89
홍천군(화계교),기후에너지환경부,3.2,3.21,-,122.91
화성시(발안천2교),기후에너지환경부,2.05,2.05,-,3.65
화성시(수직교),기후에너지환경부,0.74,0.75,4.68,5.08
화성시(화산교),기후에너지환경부,1.49,1.49,2.93,13.72
화천군(신대교),기후에너지환경부,2.51,2.51,-,130.79
화천군(신읍교),기후에너지환경부,2.98,2.97,-,111.26
화천군(일광교),기후에너지환경부,2.13,2.12,-,259.9
화천군(화천댐),기후에너지환경부,169.84,169.85,-,170.12
횡성군(둔방내리),기후에너지환경부,2.3,2.3,-,484.65
횡성군(안흥교),기후에너지환경부,1.17,1.16,3.88,415.46
횡성군(오산교),기후에너지환경부,1.89,1.89,1.52,120.28
횡성군(전천교),기후에너지환경부,0.94,0.94,0.02,108.82
횡성군(청곡교),기후에너지환경부,3.48,3.47,-,149.16
횡성군(횡성교),기후에너지환경부,1.07,1.07,8.19,107.12
