지점,관할기관,3시간전 수위(m),수위 (m),유량,해발수위 (El.m)
정선군(광하교),기후에너지환경부,0.98,1,-,274.54
정선군(나전교),기후에너지환경부,1.26,1.25,11.08,334.46
정선군(낙동교),기후에너지환경부,1.5,1.48,4.57,325.5
정선군(남평대교),기후에너지환경부,1.97,1.97,20.59,334.03
정선군(삼거리교),기후에너지환경부,2.02,2,-,479.89
정선군(송계교),기후에너지환경부,-0.25,-0.27,0.27,490.75
정선군(송천교),기후에너지환경부,0.9,0.9,10.52,375.58
정선군(애산교),기후에너지환경부,1.52,1.52,-,302.44
정선군(오장2교),기후에너지환경부,1.93,1.93,-,445.18
정선군(와평교),기후에너지환경부,1.65,1.65,4.46,315.2
정선군(정선제1교),기후에너지환경부,1.51,1.49,37.17,296.78
정선군(제1여량교),기후에너지환경부,1.67,1.65,8.91,371.14
정선군(혈천교),기후에너지환경부,1.53,1.53,16.1,480.91
제천시(강저3교),기후에너지환경부,0.19,0.19,0.53,227.82
제천시(구곡교),기후에너지환경부,1.5,1.5,3.21,186.77
제천시(덕동교),기후에너지환경부,2.24,2.24,-,266.8
제천시(부수동교),기후에너지환경부,0.73,0.73,1.47,220.36
제천시(송계교),기후에너지환경부,2.4,2.4,-,160.6
제천시(용암교),기후에너지환경부,2.58,2.58,-,228.83
제천시(팔송교),기후에너지환경부,1.25,1.24,0.01,215.95
천안시(안궁교),기후에너지환경부,2.43,2.43,-,1.45
천안시(안성천교),기후에너지환경부,0.08,0.08,2.77,3.84
천안시(장천교),기후에너지환경부,2.51,2.52,-,9.88
철원군(대마리),기후에너지환경부,0.82,0.87,-,181.5
철원군(삼합교),기후에너지환경부,0.86,0.86,-,-
철원군(암정교),기후에너지환경부,3.55,3.53,-,218.31
철원군(장수대교),기후에너지환경부,0.67,0.66,3.12,194
철원군(한탄대교),기후에너지환경부,1.64,1.63,3.38,126.7
청주시(옥화1교),기후에너지환경부,1.26,1.25,-,199.85
청주시(청석굴교),기후에너지환경부,2.66,2.65,-,212.05
춘천시(강촌교),기후에너지환경부,0.31,-0.05,23.35,52.45
춘천시(소양2교),기후에너지환경부,70.69,70.69,-,70.7
춘천시(천전리),기후에너지환경부,-0.18,0.59,-,76.64
춘천시(춘천댐),기후에너지환경부,102.46,102.46,-,102.44
춘천시(춘천댐하류),기후에너지환경부,0.34,0.32,-,72.13
춘천시(충의대교),기후에너지환경부,5.35,5.33,-,50.36
춘천시(팔미3교),기후에너지환경부,2.51,2.51,-,79.08
춘천시(효자교),기후에너지환경부,3.83,3.83,0.46,71.61
충주시(국원대교),기후에너지환경부,0.58,0.58,0.68,64.4
충주시(능암교),기후에너지환경부,2.82,2.81,-,68.48
충주시(목계교),기후에너지환경부,0.63,0.63,165.42,52.97
충주시(문강교),기후에너지환경부,1.1,1.1,-,99.83
충주시(봉계교),기후에너지환경부,2.13,2.11,-,72.54
충주시(세포교),기후에너지환경부,2.3,2.29,-,61.68
충주시(주덕교),기후에너지환경부,2.78,2.77,-,79.34
충주시(탄금교),기후에너지환경부,0.7,0.7,-,64.28
파주시(교하교),기후에너지환경부,1.87,1.89,-,2.81
파주시(덕천교),기후에너지환경부,2.21,2.2,-,16.35
파주시(만장교),기후에너지환경부,2.42,2.41,0.03,22.83
파주시(비룡대교),기후에너지환경부,2.07,2.07,29.31,7.5
파주시(신우교),기후에너지환경부,2.12,2.13,-,58.66
파주시(아가메교),기후에너지환경부,0.9,0.81,-,2.88
파주시(전진교),기후에너지환경부,6.12,6.5,-,2.37
파주시(주월교),기후에너지환경부,1.4,1.39,-,9.23
파주시(통일대교),기후에너지환경부,2.22,1.65,-,1.95
평창군(마하교),기후에너지환경부,2.66,2.66,-,221.43
평창군(바이오교),기후에너지환경부,2.35,2.35,-,465.79
평창군(사초교),기후에너지환경부,2.01,2,1.03,376.62
평창군(상방림교),기후에너지환경부,0.61,0.61,18.54,359.83
평창군(선애교),기후에너지환경부,1.09,1.08,9.05,385.97
평창군(송정교),기후에너지환경부,1.63,1.62,-,513.21
평창군(이목정교),기후에너지환경부,1.7,1.7,2.55,592.57
평창군(장평교),기후에너지환경부,-0.14,-0.14,3.9,526.82
평창군(진전교),기후에너지환경부,0.41,0.41,4.55,522.05
평창군(평창교),기후에너지환경부,1.16,1.16,15.36,288.63
평창군(하방림교),기후에너지환경부,1.67,1.68,-,368.66
평택시(군문교),기후에너지환경부,2.3,2.31,2.97,2.44
평택시(동연교),기후에너지환경부,2.54,2.53,13.38,2.25
평택시(진위1교),기후에너지환경부,1.06,1.06,1.84,6.39
평택시(팽성대교),기후에너지환경부,1.94,1.95,23.83,2.25
평택시(회화리),기후에너지환경부,0.36,0.36,9.46,5.34
포천시(가산교),기후에너지환경부,0.4,0.4,-,103.58
포천시(낭유대교),기후에너지환경부,3.92,3.92,-,104.93
포천시(마명1교),기후에너지환경부,2.27,2.27,-,90.17
포천시(신백의교),기후에너지환경부,0.84,0.84,24.87,45.39
포천시(영평교),기후에너지환경부,0.69,0.69,3.56,57.04
포천시(용담교),기후에너지환경부,0.94,0.93,-,93.06
포천시(은현교),기후에너지환경부,0.67,0.67,3.49,61.99
포천시(제1도평교),기후에너지환경부,2.13,2.13,-,159.54
포천시(지현교),기후에너지환경부,0.11,0.11,-,100.3
포천시(포천대교),기후에너지환경부,2.81,2.9,11.88,89.97
홍천군(가덕교),기후에너지환경부,2.38,2.38,-,504.07
홍천군(군업1교),기후에너지환경부,2.42,2.42,-,162.4
홍천군(굴운교),기후에너지환경부,0.67,0.66,13.02,132.34
홍천군(귀미뜰교),기후에너지환경부,2.51,2.51,-,149.43
홍천군(남노일대교),기후에너지환경부,1.95,1.91,10.88,91.19
