obscd,korObs,T1_rank1,T2_rank1,T3_rank1,T4_rank1,rank1_agree
1003652,제천시(덕동교),제천시(부수동교),영월군(주천교),제천시(부수동교),영월군(주천교),False
1003657,제천시(강저3교),충주시(국원대교),원주시(가현교),충주시(국원대교),원주시(가현교),False
1003658,제천시(부수동교),제천시(구곡교),제천시(팔송교),제천시(구곡교),제천시(팔송교),False
1003660,제천시(팔송교),제천시(구곡교),영월군(농공단지교),제천시(구곡교),영월군(농공단지교),False
1003661,제천시(구곡교),제천시(부수동교),제천시(팔송교),제천시(부수동교),제천시(팔송교),False
1003667,제천시(용암교),괴산군(적석교),정선군(송계교),괴산군(적석교),정선군(송계교),False
1004616,청주시(청석굴교),단양군(단양1교),청주시(옥화1교),괴산군(제2괴산교),청주시(옥화1교),False
1004620,청주시(옥화1교),단양군(단양1교),청주시(청석굴교),단양군(단양1교),청주시(청석굴교),False
1004631,괴산군(월문교),괴산군(비도교),정선군(삼거리교),괴산군(비도교),정선군(삼거리교),False
1004640,괴산군(적석교),정선군(송계교),정선군(송계교),정선군(송계교),정선군(송계교),True
1004645,괴산군(수전교),괴산군(목도교),괴산군(목도교),괴산군(목도교),괴산군(목도교),True
1004646,괴산군(비도교),정선군(낙동교),괴산군(목도교),정선군(낙동교),괴산군(목도교),False
1004661,괴산군(제2괴산교),충주시(문강교),영월군(충혼교),충주시(문강교),영월군(충혼교),False
1004670,괴산군(추산교),충주시(국원대교),영월군(충혼교),충주시(국원대교),영월군(충혼교),False
1004680,충주시(문강교),단양군(단양1교),정선군(송계교),괴산군(제2괴산교),정선군(송계교),False
1004693,괴산군(목도교),괴산군(추산교),괴산군(수전교),괴산군(수전교),괴산군(수전교),False
1004694,충주시(주덕교),충주시(국원대교),제천시(강저3교),충주시(국원대교),제천시(강저3교),False
1004695,충주시(국원대교),영월군(옥동교),괴산군(추산교),영월군(옥동교),괴산군(추산교),False
1004696,충주시(봉계교),충주시(주덕교),청주시(청석굴교),충주시(주덕교),청주시(청석굴교),False
1005605,충주시(탄금교),강천보(하류),강천보(상류),여주보(상류),강천보(상류),False
1005640,충주시(목계교),정선군(혈천교),괴산군(추산교),정선군(혈천교),괴산군(추산교),False
1005650,충주시(능암교),여주시(삼합교),이천시(장호원교),여주시(삼합교),이천시(장호원교),False
1005660,충주시(세포교),제천시(부수동교),평창군(선애교),제천시(부수동교),평창군(선애교),False
1005695,원주시(법천교),원주시(원주교),제천시(구곡교),원주시(원주교),제천시(구곡교),False
1005697,원주시(남한강대교),정선군(애산교),정선군(낙동교),정선군(애산교),정선군(낙동교),False
1006628,횡성군(청곡교),양평군(여물교),평창군(이목정교),양평군(여물교),평창군(이목정교),False
1006630,횡성군(오산교),횡성군(횡성교),영월군(팔괴교),횡성군(횡성교),영월군(팔괴교),False
1006650,횡성군(횡성교),횡성군(오산교),정선군(정선제1교),횡성군(오산교),정선군(정선제1교),False
1006660,횡성군(전천교),여주시(강천리),영월군(주천교),원주시(지정대교),영월군(주천교),False
1006665,원주시(원주교),원주시(법천교),원주시(가현교),원주시(법천교),원주시(가현교),False
1006666,원주시(가현교),여주시(흥천대교),제천시(강저3교),여주시(흥천대교),제천시(강저3교),False
1006670,원주시(옥산교),원주시(장현교),원주시(장현교),원주시(장현교),원주시(장현교),True
1006672,원주시(장현교),원주시(옥산교),원주시(옥산교),원주시(옥산교),원주시(옥산교),True
1006677,원주시(판대2교),평창군(상방림교),평창군(이목정교),평창군(상방림교),평창군(이목정교),False
1006680,원주시(지정대교),여주시(강천리),영월군(주천교),영월군(주천교),영월군(주천교),False
1006685,원주시(봉미교),영월군(농공단지교),제천시(팔송교),영월군(농공단지교),제천시(팔송교),False
1006690,원주시(문막교),원주시(장현교),원주시(장현교),원주시(장현교),원주시(장현교),True
1007604,안성시(한평교),이천시(동산교),이천시(장호원교),이천시(동산교),이천시(장호원교),False
1007605,이천시(장호원교),여주시(원부교),여주시(삼합교),여주시(원부교),여주시(삼합교),False
1007606,안성시(두현교),이천시(고당교),제천시(강저3교),이천시(고당교),제천시(강저3교),False
1007608,이천시(고당교),안성시(두현교),원주시(법천교),안성시(두현교),원주시(법천교),False
1007610,음성군(총천교),충주시(국원대교),단양군(단양1교),충주시(국원대교),단양군(단양1교),False
1007615,여주시(원부교),이천시(장호원교),여주시(삼합교),이천시(장호원교),여주시(삼합교),False
1007617,여주시(삼합교),여주시(원부교),이천시(장호원교),여주시(원부교),이천시(장호원교),False
1007620,여주시(강천리),여주시(여주대교),여주보(하류),여주시(여주대교),여주보(하류),False
1007625,여주시(남한강교),이포보(하류),여주시(강천리),이포보(하류),여주시(강천리),False
1007626,여주시(용은교),이천시(동산교),제천시(부수동교),이천시(동산교),제천시(부수동교),False
1007633,강천보(상류),여주시(여주대교),여주보(상류),여주시(여주대교),여주보(상류),False
1007634,강천보(하류),여주시(강천리),영월군(주천교),여주보(하류),영월군(주천교),False
1007635,여주시(여주대교),이포보(하류),여주시(강천리),이포보(하류),여주시(강천리),False
1007637,여주시(당우교),평창군(평창교),평창군(상방림교),평창군(평창교),평창군(상방림교),False
1007639,여주보(상류),강천보(하류),강천보(상류),강천보(하류),강천보(상류),False
1007640,여주시(율극교),이천시(장호원교),횡성군(전천교),이천시(장호원교),횡성군(전천교),False
1007641,여주보(하류),이포보(하류),여주시(강천리),강천보(하류),여주시(강천리),False
1007642,이천시(동산교),안성시(한평교),평창군(송정교),안성시(한평교),평창군(송정교),False
1007645,이천시(복하교),여주시(원부교),정선군(송천교),여주시(원부교),정선군(송천교),False
1007650,여주시(흥천대교),원주시(가현교),평창군(송정교),원주시(가현교),평창군(송정교),False
1007655,여주시(양촌교),원주시(문막교),횡성군(안흥교),원주시(문막교),횡성군(안흥교),False
1007662,이포보(상류),이천시(동산교),안성시(한평교),이천시(동산교),안성시(한평교),False
1007664,이포보(하류),여주보(하류),영월군(주천교),여주시(여주대교),영월군(주천교),False
1007680,양평군(흑천교),횡성군(횡성교),양평군(봉상교),양평군(봉상교),양평군(봉상교),False
1007685,양평군(양평교),양평군(신원리),이포보(하류),양평군(신원리),이포보(하류),False
1007687,양평군(여물교),횡성군(청곡교),평창군(송정교),횡성군(청곡교),평창군(송정교),False
1007690,양평군(봉상교),평창군(진전교),양평군(흑천교),평창군(진전교),양평군(흑천교),False
1007697,양평군(신원리),양평군(양평교),여주보(상류),양평군(양평교),여주보(상류),False
