obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,n_events,method
1002635,평창군(사초교),4,1002640,평창군(상방림교),0.7876,4,T3_sil_weighted
1002635,평창군(사초교),5,1002610,평창군(장평교),0.9252,3,T3_sil_weighted
1002636,평창군(하방림교),1,1002626,평창군(바이오교),1.6586,1,T3_sil_weighted
1002636,평창군(하방림교),2,1001630,정선군(나전교),1.6604,1,T3_sil_weighted
1002636,평창군(하방림교),3,1001602,평창군(송정교),1.7128,1,T3_sil_weighted
1002636,평창군(하방림교),4,1006628,횡성군(청곡교),1.7252,1,T3_sil_weighted
1002636,평창군(하방림교),5,1007640,여주시(율극교),1.7783,1,T3_sil_weighted
1002640,평창군(상방림교),1,1006677,원주시(판대2교),0.418,1,T3_sil_weighted
1002640,평창군(상방림교),2,1002605,평창군(이목정교),0.4588,1,T3_sil_weighted
1002640,평창군(상방림교),3,1002625,평창군(선애교),0.5239,3,T3_sil_weighted
1002640,평창군(상방림교),4,1002615,평창군(진전교),0.5671,1,T3_sil_weighted
1002640,평창군(상방림교),5,1007690,양평군(봉상교),0.6467,1,T3_sil_weighted
1002650,평창군(평창교),1,1006677,원주시(판대2교),0.554,1,T3_sil_weighted
1002650,평창군(평창교),2,1007637,여주시(당우교),0.6386,1,T3_sil_weighted
1002650,평창군(평창교),3,1002615,평창군(진전교),0.6788,1,T3_sil_weighted
1002650,평창군(평창교),4,1002640,평창군(상방림교),0.6941,5,T3_sil_weighted
1002650,평창군(평창교),5,1002605,평창군(이목정교),0.7349,1,T3_sil_weighted
1002670,횡성군(둔방내리),1,1002675,횡성군(안흥교),0.9338,1,T3_sil_weighted
1002670,횡성군(둔방내리),2,1006672,원주시(장현교),0.9867,1,T3_sil_weighted
1002670,횡성군(둔방내리),3,1001602,평창군(송정교),1.0019,1,T3_sil_weighted
1002670,횡성군(둔방내리),4,1001630,정선군(나전교),1.3347,1,T3_sil_weighted
1002670,횡성군(둔방내리),5,1006690,원주시(문막교),1.4724,1,T3_sil_weighted
1002675,횡성군(안흥교),1,1002680,영월군(두학교),0.7804,3,T3_sil_weighted
1002675,횡성군(안흥교),2,1002640,평창군(상방림교),0.8313,1,T3_sil_weighted
1002675,횡성군(안흥교),3,1002670,횡성군(둔방내리),0.9338,1,T3_sil_weighted
1002675,횡성군(안흥교),4,1007655,여주시(양촌교),0.9841,5,T3_sil_weighted
1002675,횡성군(안흥교),5,1002610,평창군(장평교),1.0111,1,T3_sil_weighted
1002680,영월군(두학교),1,1002687,영월군(신천교),0.5852,1,T3_sil_weighted
1002680,영월군(두학교),2,1006690,원주시(문막교),0.6967,1,T3_sil_weighted
1002680,영월군(두학교),3,1002685,영월군(주천교),0.703,1,T3_sil_weighted
1002680,영월군(두학교),4,1002625,평창군(선애교),0.7426,1,T3_sil_weighted
1002680,영월군(두학교),5,1002698,영월군(팔괴교),0.7548,1,T3_sil_weighted
1002685,영월군(주천교),1,1002687,영월군(신천교),0.5932,5,T3_sil_weighted
1002685,영월군(주천교),2,1006680,원주시(지정대교),0.6941,3,T3_sil_weighted
1002685,영월군(주천교),3,1002680,영월군(두학교),0.703,1,T3_sil_weighted
1002685,영월군(주천교),4,1007620,여주시(강천리),0.7228,3,T3_sil_weighted
1002685,영월군(주천교),5,1002698,영월군(팔괴교),0.7398,1,T3_sil_weighted
1002687,영월군(신천교),1,1002698,영월군(팔괴교),0.4591,1,T3_sil_weighted
1002687,영월군(신천교),2,1002680,영월군(두학교),0.5852,1,T3_sil_weighted
1002687,영월군(신천교),3,1002685,영월군(주천교),0.6267,5,T3_sil_weighted
1002687,영월군(신천교),4,1001690,영월군(영월대교),0.6828,1,T3_sil_weighted
1002687,영월군(신천교),5,1007620,여주시(강천리),0.8437,3,T3_sil_weighted
1002691,영월군(화병교),1,1002698,영월군(팔괴교),0.2323,1,T3_sil_weighted
1002691,영월군(화병교),2,1003625,영월군(각동교),0.4767,1,T3_sil_weighted
1002691,영월군(화병교),3,1001630,정선군(나전교),0.825,1,T3_sil_weighted
1002691,영월군(화병교),4,1001670,영월군(거운교),0.8464,1,T3_sil_weighted
1002691,영월군(화병교),5,1001602,평창군(송정교),0.8828,1,T3_sil_weighted
1002693,영월군(농공단지교),1,1006685,원주시(봉미교),0.6348,1,T3_sil_weighted
1002693,영월군(농공단지교),2,1003620,영월군(옥동교),0.7656,1,T3_sil_weighted
1002693,영월군(농공단지교),3,1002625,평창군(선애교),0.768,3,T3_sil_weighted
1002693,영월군(농공단지교),4,1003660,제천시(팔송교),0.8753,5,T3_sil_weighted
1002693,영월군(농공단지교),5,1005695,원주시(법천교),0.9474,3,T3_sil_weighted
1002698,영월군(팔괴교),1,1002691,영월군(화병교),0.2323,1,T3_sil_weighted
1002698,영월군(팔괴교),2,1002687,영월군(신천교),0.4591,1,T3_sil_weighted
1002698,영월군(팔괴교),3,1001690,영월군(영월대교),0.4948,1,T3_sil_weighted
1002698,영월군(팔괴교),4,1003625,영월군(각동교),0.5547,1,T3_sil_weighted
1002698,영월군(팔괴교),5,1001625,정선군(송천교),0.612,1,T3_sil_weighted
1003601,영월군(주채교),1,1004693,괴산군(목도교),2.3497,1,T3_sil_weighted
1003601,영월군(주채교),2,1003603,영월군(내리2교),3.2985,1,T3_sil_weighted
1003601,영월군(주채교),3,1004631,괴산군(월문교),4.1475,1,T3_sil_weighted
1003601,영월군(주채교),4,1004645,괴산군(수전교),4.4272,1,T3_sil_weighted
1003601,영월군(주채교),5,1004646,괴산군(비도교),4.6376,1,T3_sil_weighted
1003603,영월군(내리2교),1,1003601,영월군(주채교),3.2985,1,T3_sil_weighted
1003603,영월군(내리2교),2,1004693,괴산군(목도교),3.6868,1,T3_sil_weighted
1003603,영월군(내리2교),3,1005640,충주시(목계교),4.1579,1,T3_sil_weighted
1003603,영월군(내리2교),4,1004645,괴산군(수전교),4.93,1,T3_sil_weighted
1003603,영월군(내리2교),5,1004646,괴산군(비도교),5.6826,1,T3_sil_weighted
1003605,영월군(충혼교),1,1001660,정선군(낙동교),0.4814,1,T3_sil_weighted
1003605,영월군(충혼교),2,1005695,원주시(법천교),0.6999,1,T3_sil_weighted
1003605,영월군(충혼교),3,1001649,정선군(애산교),0.7515,1,T3_sil_weighted
1003605,영월군(충혼교),4,1004670,괴산군(추산교),0.8804,3,T3_sil_weighted
1003605,영월군(충혼교),5,1007617,여주시(삼합교),0.9027,1,T3_sil_weighted
1003620,영월군(옥동교),1,1004695,충주시(국원대교),0.5778,1,T3_sil_weighted
1003620,영월군(옥동교),2,1002693,영월군(농공단지교),0.7656,1,T3_sil_weighted
1003620,영월군(옥동교),3,1006685,원주시(봉미교),0.888,1,T3_sil_weighted
1003620,영월군(옥동교),4,1003660,제천시(팔송교),0.9602,1,T3_sil_weighted
1003620,영월군(옥동교),5,1001660,정선군(낙동교),0.9728,1,T3_sil_weighted
1003625,영월군(각동교),1,1002691,영월군(화병교),0.4767,1,T3_sil_weighted
1003625,영월군(각동교),2,1002698,영월군(팔괴교),0.5547,1,T3_sil_weighted
1003625,영월군(각동교),3,1001670,영월군(거운교),0.7606,1,T3_sil_weighted
1003625,영월군(각동교),4,1001630,정선군(나전교),0.8518,1,T3_sil_weighted
1003625,영월군(각동교),5,1003636,단양군(가대교),0.9307,1,T3_sil_weighted
1003626,단양군(들골교),1,1005695,원주시(법천교),3.0452,1,T3_sil_weighted
1003626,단양군(들골교),2,1006650,횡성군(횡성교),3.3358,1,T3_sil_weighted
1003626,단양군(들골교),3,1003661,제천시(구곡교),3.4021,1,T3_sil_weighted
1003626,단양군(들골교),4,1003657,제천시(강저3교),3.4283,1,T3_sil_weighted
1003626,단양군(들골교),5,1007680,양평군(흑천교),3.5489,1,T3_sil_weighted
1003636,단양군(가대교),1,1003642,단양군(덕천교),0.2999,4,T3_sil_weighted
1003636,단양군(가대교),2,1001690,영월군(영월대교),0.5208,4,T3_sil_weighted
1003636,단양군(가대교),3,1001625,정선군(송천교),0.593,1,T3_sil_weighted
1003636,단양군(가대교),4,1001670,영월군(거운교),0.7019,2,T3_sil_weighted
1003636,단양군(가대교),5,1002698,영월군(팔괴교),0.8526,2,T3_sil_weighted
1003642,단양군(덕천교),1,1003636,단양군(가대교),0.2999,4,T3_sil_weighted
1003642,단양군(덕천교),2,1001670,영월군(거운교),0.4964,1,T3_sil_weighted
1003642,단양군(덕천교),3,1002698,영월군(팔괴교),0.5134,1,T3_sil_weighted
1003642,단양군(덕천교),4,1001690,영월군(영월대교),0.5791,4,T3_sil_weighted
1003642,단양군(덕천교),5,1002687,영월군(신천교),0.6859,1,T3_sil_weighted
1003645,단양군(단양1교),1,1004616,청주시(청석굴교),1.1741,1,T3_sil_weighted
1003645,단양군(단양1교),2,1004680,충주시(문강교),1.5116,3,T3_sil_weighted
1003645,단양군(단양1교),3,1005640,충주시(목계교),2.0892,1,T3_sil_weighted
1003645,단양군(단양1교),4,1004695,충주시(국원대교),2.1463,1,T3_sil_weighted
1003645,단양군(단양1교),5,1004670,괴산군(추산교),2.2868,1,T3_sil_weighted
1003652,제천시(덕동교),1,1003658,제천시(부수동교),1.0033,1,T3_sil_weighted
1003652,제천시(덕동교),2,1003660,제천시(팔송교),1.0686,1,T3_sil_weighted
1003652,제천시(덕동교),3,1002687,영월군(신천교),1.3812,1,T3_sil_weighted
1003652,제천시(덕동교),4,1002693,영월군(농공단지교),1.4755,1,T3_sil_weighted
1003652,제천시(덕동교),5,1002685,영월군(주천교),1.5363,1,T3_sil_weighted
1003657,제천시(강저3교),1,1004695,충주시(국원대교),0.9768,1,T3_sil_weighted
1003657,제천시(강저3교),2,1007640,여주시(율극교),1.2095,1,T3_sil_weighted
1003657,제천시(강저3교),3,1007615,여주시(원부교),1.2458,1,T3_sil_weighted
1003657,제천시(강저3교),4,1006666,원주시(가현교),1.276,4,T3_sil_weighted
1003657,제천시(강저3교),5,1007642,이천시(동산교),1.3462,1,T3_sil_weighted
1003658,제천시(부수동교),1,1003661,제천시(구곡교),0.5169,1,T3_sil_weighted
1003658,제천시(부수동교),2,1007617,여주시(삼합교),0.6778,1,T3_sil_weighted
1003658,제천시(부수동교),3,1007605,이천시(장호원교),0.7356,1,T3_sil_weighted
1003658,제천시(부수동교),4,1007615,여주시(원부교),0.7653,1,T3_sil_weighted
1003658,제천시(부수동교),5,1001630,정선군(나전교),0.811,3,T3_sil_weighted
1003660,제천시(팔송교),1,1003661,제천시(구곡교),0.6378,1,T3_sil_weighted
1003660,제천시(팔송교),2,1007617,여주시(삼합교),0.6593,1,T3_sil_weighted
1003660,제천시(팔송교),3,1006685,원주시(봉미교),0.71,1,T3_sil_weighted
1003660,제천시(팔송교),4,1001630,정선군(나전교),0.7206,3,T3_sil_weighted
1003660,제천시(팔송교),5,1003658,제천시(부수동교),0.752,2,T3_sil_weighted
1003661,제천시(구곡교),1,1003658,제천시(부수동교),0.5169,1,T3_sil_weighted
1003661,제천시(구곡교),2,1007617,여주시(삼합교),0.666,1,T3_sil_weighted
1003661,제천시(구곡교),3,1004695,충주시(국원대교),0.6767,1,T3_sil_weighted
1003661,제천시(구곡교),4,1002610,평창군(장평교),0.7399,1,T3_sil_weighted
1003661,제천시(구곡교),5,1007605,이천시(장호원교),0.7588,1,T3_sil_weighted
1003667,제천시(용암교),1,1004640,괴산군(적석교),3.3162,1,T3_sil_weighted
1003667,제천시(용암교),2,1004680,충주시(문강교),3.4604,1,T3_sil_weighted
1003667,제천시(용암교),3,1007633,강천보(상류),3.5219,1,T3_sil_weighted
1003667,제천시(용암교),4,1001620,정선군(송계교),3.5247,1,T3_sil_weighted
1003667,제천시(용암교),5,1001660,정선군(낙동교),3.5443,1,T3_sil_weighted
1004616,청주시(청석굴교),1,1004661,괴산군(제2괴산교),1.153,2,T3_sil_weighted
1004616,청주시(청석굴교),2,1003645,단양군(단양1교),1.1741,1,T3_sil_weighted
1004616,청주시(청석굴교),3,1003605,영월군(충혼교),1.2089,1,T3_sil_weighted
1004616,청주시(청석굴교),4,1004670,괴산군(추산교),1.3333,1,T3_sil_weighted
1004616,청주시(청석굴교),5,1007617,여주시(삼합교),1.3755,1,T3_sil_weighted
1004620,청주시(옥화1교),1,1003645,단양군(단양1교),0.7318,1,T3_sil_weighted
1004620,청주시(옥화1교),2,1004695,충주시(국원대교),1.1957,1,T3_sil_weighted
1004620,청주시(옥화1교),3,1004680,충주시(문강교),1.311,1,T3_sil_weighted
1004620,청주시(옥화1교),4,1004616,청주시(청석굴교),1.3866,5,T3_sil_weighted
1004620,청주시(옥화1교),5,1004645,괴산군(수전교),1.4913,2,T3_sil_weighted
1004631,괴산군(월문교),1,1004646,괴산군(비도교),1.9962,1,T3_sil_weighted
1004631,괴산군(월문교),2,1003645,단양군(단양1교),2.5957,1,T3_sil_weighted
1004631,괴산군(월문교),3,1004693,괴산군(목도교),2.6876,1,T3_sil_weighted
1004631,괴산군(월문교),4,1001650,정선군(삼거리교),2.9244,1,T3_sil_weighted
1004631,괴산군(월문교),5,1004645,괴산군(수전교),3.4403,1,T3_sil_weighted
1004640,괴산군(적석교),1,1001620,정선군(송계교),1.2033,1,T3_sil_weighted
1004640,괴산군(적석교),2,1004620,청주시(옥화1교),1.6887,1,T3_sil_weighted
1004640,괴산군(적석교),3,1004616,청주시(청석굴교),2.1079,1,T3_sil_weighted
1004640,괴산군(적석교),4,1007640,여주시(율극교),2.2168,1,T3_sil_weighted
1004640,괴산군(적석교),5,1001660,정선군(낙동교),2.2443,1,T3_sil_weighted
1004645,괴산군(수전교),1,1004693,괴산군(목도교),0.8351,4,T3_sil_weighted
1004645,괴산군(수전교),2,1004620,청주시(옥화1교),1.4846,2,T3_sil_weighted
1004645,괴산군(수전교),3,1003605,영월군(충혼교),1.5533,1,T3_sil_weighted
1004645,괴산군(수전교),4,1001622,정선군(혈천교),1.5964,1,T3_sil_weighted
1004645,괴산군(수전교),5,1004680,충주시(문강교),1.7264,1,T3_sil_weighted
1004646,괴산군(비도교),1,1001660,정선군(낙동교),1.1743,1,T3_sil_weighted
1004646,괴산군(비도교),2,1003620,영월군(옥동교),1.258,1,T3_sil_weighted
1004646,괴산군(비도교),3,1001645,정선군(와평교),1.3037,1,T3_sil_weighted
1004646,괴산군(비도교),4,1001649,정선군(애산교),1.3179,1,T3_sil_weighted
1004646,괴산군(비도교),5,1004631,괴산군(월문교),1.9962,1,T3_sil_weighted
1004661,괴산군(제2괴산교),1,1004680,충주시(문강교),0.8732,1,T3_sil_weighted
1004661,괴산군(제2괴산교),2,1003605,영월군(충혼교),0.9591,3,T3_sil_weighted
1004661,괴산군(제2괴산교),3,1004616,청주시(청석굴교),0.9876,2,T3_sil_weighted
1004661,괴산군(제2괴산교),4,1004670,괴산군(추산교),0.9949,3,T3_sil_weighted
1004661,괴산군(제2괴산교),5,1007617,여주시(삼합교),1.0606,1,T3_sil_weighted
1004670,괴산군(추산교),1,1004695,충주시(국원대교),0.7523,2,T3_sil_weighted
1004670,괴산군(추산교),2,1003605,영월군(충혼교),0.8735,3,T3_sil_weighted
1004670,괴산군(추산교),3,1003620,영월군(옥동교),0.9704,3,T3_sil_weighted
1004670,괴산군(추산교),4,1007615,여주시(원부교),0.9715,1,T3_sil_weighted
1004670,괴산군(추산교),5,1004661,괴산군(제2괴산교),0.99,3,T3_sil_weighted
1004680,충주시(문강교),1,1004661,괴산군(제2괴산교),0.9099,2,T3_sil_weighted
1004680,충주시(문강교),2,1003645,단양군(단양1교),0.9698,2,T3_sil_weighted
1004680,충주시(문강교),3,1004693,괴산군(목도교),1.2627,2,T3_sil_weighted
1004680,충주시(문강교),4,1004620,청주시(옥화1교),1.311,1,T3_sil_weighted
1004680,충주시(문강교),5,1004695,충주시(국원대교),1.4783,1,T3_sil_weighted
1004693,괴산군(목도교),1,1004645,괴산군(수전교),0.7681,4,T3_sil_weighted
1004693,괴산군(목도교),2,1004670,괴산군(추산교),1.1104,1,T3_sil_weighted
1004693,괴산군(목도교),3,1003605,영월군(충혼교),1.2028,1,T3_sil_weighted
1004693,괴산군(목도교),4,1004680,충주시(문강교),1.268,2,T3_sil_weighted
1004693,괴산군(목도교),5,1003620,영월군(옥동교),1.2826,1,T3_sil_weighted
1004694,충주시(주덕교),1,1004695,충주시(국원대교),0.9959,1,T3_sil_weighted
1004694,충주시(주덕교),2,1004620,청주시(옥화1교),1.6269,1,T3_sil_weighted
1004694,충주시(주덕교),3,1004616,청주시(청석굴교),1.9131,1,T3_sil_weighted
1004694,충주시(주덕교),4,1004696,충주시(봉계교),1.9841,1,T3_sil_weighted
1004694,충주시(주덕교),5,1003657,제천시(강저3교),3.1111,1,T3_sil_weighted
1004695,충주시(국원대교),1,1003620,영월군(옥동교),0.5778,1,T3_sil_weighted
1004695,충주시(국원대교),2,1003661,제천시(구곡교),0.6767,1,T3_sil_weighted
1004695,충주시(국원대교),3,1007617,여주시(삼합교),0.9196,1,T3_sil_weighted
