obscd,korObs,rank,neighbor_obscd,neighbor_korObs,score,method
1002626,평창군(바이오교),3,1002685,영월군(주천교),1,T2_frequency
1002626,평창군(바이오교),4,1003658,제천시(부수동교),1,T2_frequency
1002626,평창군(바이오교),5,1005660,충주시(세포교),1,T2_frequency
1002635,평창군(사초교),1,1001630,정선군(나전교),4,T2_frequency
1002635,평창군(사초교),2,1002640,평창군(상방림교),4,T2_frequency
1002635,평창군(사초교),3,1001602,평창군(송정교),3,T2_frequency
1002635,평창군(사초교),4,1002610,평창군(장평교),3,T2_frequency
1002635,평창군(사초교),5,1002698,영월군(팔괴교),3,T2_frequency
1002636,평창군(하방림교),1,1001602,평창군(송정교),1,T2_frequency
1002636,평창군(하방림교),2,1001630,정선군(나전교),1,T2_frequency
1002636,평창군(하방림교),3,1002626,평창군(바이오교),1,T2_frequency
1002636,평창군(하방림교),4,1006628,횡성군(청곡교),1,T2_frequency
1002636,평창군(하방림교),5,1007640,여주시(율극교),1,T2_frequency
1002640,평창군(상방림교),1,1002650,평창군(평창교),5,T2_frequency
1002640,평창군(상방림교),2,1001630,정선군(나전교),4,T2_frequency
1002640,평창군(상방림교),3,1002610,평창군(장평교),4,T2_frequency
1002640,평창군(상방림교),4,1002635,평창군(사초교),4,T2_frequency
1002640,평창군(상방림교),5,1002625,평창군(선애교),3,T2_frequency
1002650,평창군(평창교),1,1002640,평창군(상방림교),5,T2_frequency
1002650,평창군(평창교),2,1001630,정선군(나전교),4,T2_frequency
1002650,평창군(평창교),3,1002625,평창군(선애교),3,T2_frequency
1002650,평창군(평창교),4,1003658,제천시(부수동교),3,T2_frequency
1002650,평창군(평창교),5,1003660,제천시(팔송교),3,T2_frequency
1002670,횡성군(둔방내리),1,1001602,평창군(송정교),1,T2_frequency
1002670,횡성군(둔방내리),2,1001630,정선군(나전교),1,T2_frequency
1002670,횡성군(둔방내리),3,1002675,횡성군(안흥교),1,T2_frequency
1002670,횡성군(둔방내리),4,1006672,원주시(장현교),1,T2_frequency
1002670,횡성군(둔방내리),5,1006690,원주시(문막교),1,T2_frequency
1002675,횡성군(안흥교),1,1007655,여주시(양촌교),5,T2_frequency
1002675,횡성군(안흥교),2,1002650,평창군(평창교),4,T2_frequency
1002675,횡성군(안흥교),3,1002680,영월군(두학교),3,T2_frequency
1002675,횡성군(안흥교),4,1007680,양평군(흑천교),3,T2_frequency
1002675,횡성군(안흥교),5,1007690,양평군(봉상교),3,T2_frequency
1002680,영월군(두학교),1,1002675,횡성군(안흥교),4,T2_frequency
1002680,영월군(두학교),2,1002650,평창군(평창교),3,T2_frequency
1002680,영월군(두학교),3,1007655,여주시(양촌교),3,T2_frequency
1002680,영월군(두학교),4,1007680,양평군(흑천교),3,T2_frequency
1002680,영월군(두학교),5,1007690,양평군(봉상교),3,T2_frequency
1002685,영월군(주천교),1,1002687,영월군(신천교),5,T2_frequency
1002685,영월군(주천교),2,1006660,횡성군(전천교),3,T2_frequency
1002685,영월군(주천교),3,1006672,원주시(장현교),3,T2_frequency
1002685,영월군(주천교),4,1006680,원주시(지정대교),3,T2_frequency
1002685,영월군(주천교),5,1007620,여주시(강천리),3,T2_frequency
1002687,영월군(신천교),1,1002685,영월군(주천교),5,T2_frequency
1002687,영월군(신천교),2,1006672,원주시(장현교),3,T2_frequency
